College G. Bush School of Govt,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,42,,,,,,42,,
Gender,Male,,,20,,,,,,20,,
,Female,,,22,,,,,,22,,
Ethnic,White,,,29,,,,,,29,,
Origin,Black,,,5,,,,,,5,,
,Hispanic,,,4,,,,,,4,,
,Asian,,,2,,,,,,2,,
,American Indian,,,,,,,,,,,
,International,,,2,,,,,,2,,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,34,,,,,,34,,
,26-30,,,7,,,,,,7,,
,31-39,,,1,,,,,,1,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,22,,,,,,22,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re-Admitted,,,,,,,,,,,
,Continuing,,,20,,,,,,20,,
Tuition,Resident Tuition,,,21,,,,,,21,,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,21,,,,,,21,,
Residency,Texas Resident,,,22,,,,,,22,,
Status,"Non-TX, US Resident",,,18,,,,,,18,,
,"Non-TX, Non-US Resident",,,2,,,,,,2,,
SCH,< 6 SCH,,,,,,,,,,,
Categories,6-8 SCH,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,41,,,,,,41,,
,15-17 SCH,,,1,,,,,,1,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
TAMU,Half-Time,,,,,,,,,,,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,42,,,,,,42,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
