Demographic Summary Fall 1999,,,,,,,,,,,
College General Studies,,,,,,,,,,,
"Fall 1999
Head Count        Total
Gender                Male Female
Ethnic Origin      White
Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age         <18
Categories           18-21
22-25
26-30
31-39
40+
Enrollment         1st Time in College Status                  1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer
Re-Admitted Continuing
Tuition                Resident Tuition
Status                  Non-Resident Tuition Tuition Exemption/Waiver
Residency           Texas Resident
Status                  Non-TX, US Resident
Non-TX, Non-US Resident
SCH                    < 6 SCH
Categories           6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                   Less Than Half Time
TAMU                Half-Time
Three-Quarter Time Full-Time",Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,2635,,,,,,,,2635,,
,1280,,,,,,,,1280,,
,1355,,,,,,,,1355,,
,2188,,,,,,,,2188,,
,99,,,,,,,,99,,
,224,,,,,,,,224,,
,73,,,,,,,,73,,
,12,,,,,,,,12,,
,16,,,,,,,,16,,
,23,,,,,,,,23,,
,12,,,,,,,,12,,
,2571,,,,,,,,2571,,
,42,,,,,,,,42,,
,7,,,,,,,,7,,
,1,,,,,,,,1,,
,2,,,,,,,,2,,
,1242,,,,,,,,1242,,
,51,,,,,,,,51,,
,65,,,,,,,,65,,
,1277,,,,,,,,1277,,
,2492,,,,,,,,2492,,
,89,,,,,,,,89,,
,54,,,,,,,,54,,
,2530,,,,,,,,2530,,
,89,,,,,,,,89,,
,16,,,,,,,,16,,
,12,,,,,,,,12,,
,21,,,,,,,,21,,
,39,,,,,,,,39,,
,2172,,,,,,,,2172,,
,387,,,,,,,,387,,
,4,,,,,,,,4,,
,12,,,,,,,,12,,
,22,,,,,,,,22,,
,44,,,,,,,,44,,
,2557,,,,,,,,2557,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,
