"Fall 1999
Geosciences             ATMO CLGE GEOG GEOL GEPL OCNG
SubTotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
SubTotal
Science                    BIOL CHEM MATH PHYS STAT
SubTotal
Veterinary                CLVM
Medicine                 VAPH VLAM VTPB VTPH VTPP
SubTotal
Distance                   CLEN
Education                 PETE
SubTotal
General Studies       GEST
SubTotal
G. Bush School        BUSH
of Govt                     SubTotal Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,162,,3,,6,,1,,,1,,18,,,,,191,,
,1,,,,,,,,,,,,,,,,1,,
,167,,2,,17,,4,,,4,,5,,,1,,200,,
,16,,,,3,,,,,,,,,,2,,21,,
,161,,2,,12,,3,,,,,53,,,3,,234,,
,44,,,,3,,1,,,,,32,,,3,,83,,
,551,,7,,41,,9,,,5,,108,,,9,,730,,
,188,,,,13,,5,,,,,10,,,6,,222,,
,156,,7,,44,,10,,,1,,3,,,2,,223,,
,282,,16,,49,,13,,,3,,80,,,6,,449,,
,603,,10,,66,,7,,,1,,19,,,10,,716,,
,413,,5,,53,,6,,,2,,,,,15,,494,,
,596,,30,,65,,17,,,5,,4,,,8,,725,,
,85,,2,,35,,,,,,,3,,,3,,128,,
,76,,,,6,,4,,,,,5,,,3,,94,,
,655,,22,,86,,10,,,3,,11,,,12,,799,,
,42,,2,,10,,1,,,1,,1,,,,,57,,
,1008,,46,,148,,27,,,5,,5,,,26,,1265,,
,473,,17,,40,,6,,,4,,2,,,9,,551,,
,204,,23,,34,,8,,,1,,17,,,4,,291,,
,4781,,180,,649,,114,,,26,,160,,,104,,6014,,
,1059,,44,,174,,93,,,2,,46,,,28,,1446,,
,256,,10,,35,,21,,,1,,87,,,7,,417,,
,293,,11,,29,,11,,,,,56,,,6,,406,,
,95,,1,,6,,3,,,,,79,,,3,,187,,
,25,,1,,,,2,,,,,44,,,,,72,,
,1728,,67,,244,,130,,,3,,312,,,44,,2528,,
,2189,,77,,246,,116,,,18,,4,,,33,,2683,,
,27,,,,2,,2,,,,,6,,,,,37,,
,2,,,,,,,,,,,1,,,,,3,,
,36,,2,,2,,1,,,,,20,,,,,61,,
,2,,,,,,,,,,,,,,,,2,,
,28,,,,2,,1,,,,,18,,,,,49,,
,2284,,79,,252,,120,,,18,,49,,,33,,2835,,
,2,,,,,,,,,,,,,,,,2,,
,3,,,,,,,,,,,,,,,,3,,
,5,,,,,,,,,,,,,,,,5,,
,2188,,99,,224,,73,,,12,,16,,,23,,2635,,
,2188,,99,,224,,73,,,12,,16,,,23,,2635,,
,29,,5,,4,,2,,,,,2,,,,,42,,
,29,,5,,4,,2,,,,,2,,,,,42,,
,33517,,1122,,3761,,1357,,,187,,2920,,,578,,43442,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,,
