College Business Admin,,,,,,,,,,,,
Demographic Summary,,,,,,,,,,,,
Fall 1999,,,,,,,,,,,,
Fall 1999,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,6247,,627,,86,,,,6960,,
Gender,Male,3124,,381,,55,,,,3560,,
,Female,3123,,246,,31,,,,3400,,
Ethnic,White,5245,,443,,42,,,,5730,,
Origin,Black,134,,4,,7,,,,145,,
,Hispanic,502,,37,,5,,,,544,,
,Asian,176,,16,,1,,,,193,,
,American Indian,23,,2,,2,,,,27,,
,International,93,,119,,28,,,,240,,
,Unknown/Other,74,,6,,1,,,,81,,
TAMU Age,<18,5,,,,,,,,5,,
Categories,18-21,4563,,15,,,,,,4578,,
,22-25,1545,,337,,4,,,,1886,,
,26-30,79,,168,,25,,,,272,,
,31-39,36,,75,,32,,,,143,,
,40+,19,,32,,25,,,,76,,
Enrollment,1st Time in College,872,,,,,,,,872,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,397,,16,,,,413,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,132,,,,,,,,132,,
,Re-Admitted,57,,,,,,,,57,,
,Continuing,5186,,230,,70,,,,5486,,
Tuition,Resident Tuition,5929,,420,,30,,,,6379,,
Status,Non-Resident Tuition,180,,40,,12,,,,232,,
,Tuition Exemption/Waiver,138,,167,,44,,,,349,,
Residency,Texas Resident,5987,,438,,34,,,,6459,,
Status,"Non-TX, US Resident",166,,68,,24,,,,258,,
,"Non-TX, Non-US Resident",94,,121,,28,,,,243,,
SCH,< 6 SCH,50,,14,,19,,,,83,,
Categories,6-8 SCH,105,,21,,,,,,126,,
,9-11 SCH,217,,133,,47,,,,397,,
,12-14 SCH,3925,,292,,20,,,,4237,,
,15-17 SCH,1867,,155,,,,,,2022,,
,>17 SCH,83,,12,,,,,,95,,
Ft/Pt:,Less Than Half Time,27,,14,,13,,,,54,,
TAMU,Half-Time,104,,21,,6,,,,131,,
Status,Three-Quarter Time,220,,,,,,,,220,,
,Full-Time,5896,,592,,67,,,,6555,,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,
