"Fall 1999
Science                   APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Sub-Total
Veterinary               BIML
Medicine                 BIMS EPID GENE TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS VTPH
Sub-Total
Distance                  LCEM
Education                PETE
Sub-Total
General Studies       GEST
GSEN
Sub-Total
G. Bush School       BUSH
of Govt                    Sub-Total
University                Total",Undergraduate,,,,,Masters,,,PhD,,Professional,,Total,
,"1st Time in College
11
293
39
2
46
45
32
19
58
545
549
9
558
1242
1242
6695","1st Time PB
1
1
1
1
1
5
5
3
8
60","1st Time Transfer
2
74
12
7
11
16
1
18
141
92
1
93
51
51
2108","Re-Admi tted
2
5
1
1
2
4
15
7
10
17
65
65
510","Contin uing
105
434
79
5
128
120
148
53
111
1183
43
1465
1508
1257
20
1277
26704",1st Time Graduate,1st Time Transfer,Contin uing,1st Time Graduate,Contin uing,1st Time Professional,Contin uing,,
,,,,,,8,1,24,1,19,131,368,120,
,,,,,,,,,,,,,859,
,,,,,,,,,,,,,131,
,,,,,,,,1,,4,,,13,
,,,,,,59,,57,11,108,,,416,
,,,,,,,,,,1,,,1,
,,,,,,23,,33,9,43,,,286,
,,,,,,5,,7,1,10,,,221,
,,,,,,23,,28,7,55,,,187,
,,,,,,,,1,,1,,,2,
,,,,,,8,,19,10,35,,,72,
,,,,,,,,1,,,,,1,
,,,,,,1,,13,1,12,,,219,
,,,,,,127,,184,40,288,,,2528,
,,,,,,,,,,,,,696,
,,,,,,,,,,,,,1488,
,,,,,,1,,2,,,,,3,
,,,,,,,,3,1,7,,,11,
,,,,,,1,,3,3,35,,,42,
,,,,,,,,1,,,,,1,
,,,,,,1,,,,,,,1,
,,,,,,1,,5,,8,,,14,
,,,,,,1,,9,1,8,,,20,
,,,,,,2,,4,1,8,,,15,
,,,,,,,,,,,,,499,
,,,,,,3,,10,2,26,,,41,
,,,,,,2,,,,,,,2,
,,,,,,,,1,,1,,,2,
,,,,,,12,1,38,8,93,131,368,2835,
,,,,,,,,2,,,,,2,
,,,,,,2,,1,,,,,3,
,,,,,,2,,3,,,,,5,
,,,,,,,,,,,,,2615,
,,,,,,,,,,,,,20,
,,,,,,,,,,,,,2635,
,,,,,,22,,20,,,,,42,
,,,,,,22,,20,,,,,42,
,,,,,,1588,3,2422,348,2505,131,368,43442,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,
