Fall 1999,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Geosciences,ESCI,5,10,1,1,12,1,1,3,1,3,1,4,1,2,5,11,16,
,GEOG,93,74,,,,5,,,,,,,,,110,90,200,
,GEOL,73,61,,1,8,5,2,1,,,17,6,2,,102,76,178,
,GEOP,18,10,1,,,1,,,,,25,5,,1,44,17,61,
,GEOS,1,,,,,,,,,,,,,,1,,1,
,METR,102,60,1,2,3,3,,1,1,,12,6,,,119,72,191,
,OCNG,28,16,,,,3,1,,,,22,10,2,1,53,30,83,
,Sub-Total,320,231,3,4,23,18,4,5,2,3,77,31,5,4,434,296,730,
Liberal Arts,ANTH,81,107,,,5,8,2,3,,,4,6,,5,92,129,221,
,ANTL,,,,,,,,,,,,,,1,,1,1,
,ECOL,3,3,,,,,,,,,1,,,,4,3,7,
,ECON,207,69,10,6,36,13,7,6,3,,67,12,3,3,333,109,442,
,ENGL,137,460,3,6,15,51,6,1,,1,6,13,2,8,169,540,709,
,ENLL,1,5,,1,,,,,,,,,,,1,6,7,
,FREN,,10,,1,,,,,,,,,,,,11,11,
,GERM,3,4,,,,,,,,,1,,,1,4,5,9,
,HISL,3,2,,,,,,,,,,,,,3,2,5,
,HIST,247,161,2,3,34,19,2,4,,2,,,12,3,297,192,489,
,INTL,1,3,,,,,,,,,,,,,1,3,4,
,INTS,41,111,3,4,15,29,3,7,,1,2,1,,2,64,155,219,
,JOUL,5,13,,,1,3,,,,,,,,,6,16,22,
,JOUR,161,405,7,23,19,42,5,11,,4,2,,,5,194,490,684,
,MODL,6,10,1,,5,7,,,,,,1,,,12,18,30,
,MOLL,3,10,,,,2,,,,,,,,,3,12,15,
,PHIL,62,13,,,5,1,4,,,,4,1,2,1,77,16,93,
,PHLL,1,,,,,,,,,,,,,,1,,1,
,POLL,9,11,,,1,1,,,,,,,1,,11,12,23,
,POLS,370,265,8,14,50,34,6,4,1,2,6,5,6,5,447,329,776,
,PSYC,239,753,8,38,40,105,7,19,2,3,4,1,6,19,306,938,1244,
,PSYL,6,10,,,,3,,1,,,,,1,,7,14,21,
,RUSS,3,4,,,,,,,,,,,,1,3,5,8,
,SCOL,2,4,,,,,,,,,,,,,2,4,6,
,SCOM,131,334,9,8,15,24,2,4,3,1,1,1,5,4,166,376,542,
,SOCI,64,138,12,11,16,18,4,4,,1,9,8,1,3,106,183,289,
,SOCL,,2,,,,,,,,,,,,,,2,2,
,SPAN,10,22,,,5,16,,,,,1,,,1,16,39,55,
,STJR,5,7,,,,,,1,,1,1,1,1,2,7,12,19,
,THAL,1,1,,,,1,,,,,,,,,1,2,3,
,THAR,14,28,1,1,6,4,,1,,1,,1,,,21,36,57,
,Sub-Total,1816,2965,64,116,268,381,48,66,9,17,109,51,40,64,2354,3660,6014,
"Prepared by OISP, 30 Aug 00",,,,,,,,,,,,,,,,,,,
