"Fall 2000
Science                    BIOL CHEM MATH PHYS STAT
SubTotal
Veterinary               CLVM
Medicine        VAPH VLAM VSAM VTPB
VTPH VTPP
SubTotal
Distance                  CLEN
Education       EPSY INEN PETE
SubTotal
General Studies       GEST
SubTotal
Exchange                SABX
SubTotal
Total",Undergraduate,,Masters,,PhD,,Professional,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,1306,-2.2%,44,-26.7%,53,6.0%,,,1403,-3.0%,
,203,12.2%,106,-9.4%,121,1.7%,,,430,3.1%,
,296,-0.7%,61,8.9%,50,-3.8%,,,407,0.2%,
,82,10.8%,40,-21.6%,65,4.8%,,,187,0.0%,
,,,37,37.0%,50,11.1%,,,87,20.8%,
,1887,-0.1%,288,-7.4%,339,3.4%,,,2514,-0.6%,
,2160,-1.1%,12,100.0%,,,506,1.4%,2678,-0.2%,
,,,5,-58.3%,26,4.0%,,,31,-16.2%,
,,,5,66.7%,,,,,5,66.7%,
,,,2,100.0%,,,,,2,100.0%,
,,,25,25.0%,36,-12.2%,,,61,0.0%,
,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,,,13,-13.3%,29,-14.7%,,,42,-14.3%,
,2160,-1.1%,62,21.6%,91,-9.9%,506,1.4%,2819,-0.6%,
,,,0,-100.0%,,,,,0,-100.0%,
,,,1,100.0%,,,,,1,100.0%,
,,,1,100.0%,,,,,1,100.0%,
,,,1,-66.7%,,,,,1,-66.7%,
,,,3,-40.0%,,,,,3,-40.0%,
,3204,21.6%,,,,,,,3204,21.6%,
,3204,21.6%,,,,,,,3204,21.6%,
,21,100.0%,,,,,,,21,100.0%,
,21,100.0%,,,,,,,21,100.0%,
,36229,0.4%,4351,8.4%,2940,3.0%,506,1.4%,44026,1.3%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,
