"Fall 2000
Engineering             AERO CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
SubTotal
Geosciences            ATMO CLGE GEOG GEOL GEPL OCNG
SubTotal
G. Bush School       BUSH
of Govt                    SubTotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
SubTotal
Science                    BIOL CHEM MATH PHYS STAT
SubTotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,385,4.3%,9,12.5%,58,9.4%,18,0.0%,,2,-50.0%,67,15.5%,,15,7.1%,554,5.7%,
,498,-11.2%,16,-38.5%,64,-7.2%,56,-17.6%,,2,-50.0%,119,29.3%,,16,14.3%,771,-7.6%,
,101,60.3%,17,88.9%,55,52.8%,10,66.7%,,,,18,-43.8%,,5,100.0%,206,41.1%,
,975,-11.0%,32,-37.3%,77,-18.9%,134,0.0%,,4,300.0%,260,27.5%,,19,-5.0%,1501,-6.2%,
,762,-2.8%,25,19.0%,103,2.0%,27,28.6%,,4,0.0%,216,11.3%,,9,12.5%,1146,1.1%,
,749,-6.3%,40,-2.4%,115,4.5%,134,-8.2%,,8,-11.1%,405,11.6%,,18,80.0%,1469,-0.6%,
,987,0.0%,49,8.9%,144,-5.3%,57,35.7%,,10,42.9%,25,19.0%,,19,46.2%,1291,1.9%,
,446,-7.9%,36,-7.7%,72,-22.6%,53,3.9%,,3,200.0%,233,35.5%,,12,-7.7%,855,0.2%,
,990,-10.8%,10,-47.4%,98,-14.8%,34,-19.0%,,2,-80.0%,252,28.6%,,18,20.0%,1404,-6.8%,
,121,-1.6%,7,16.7%,16,14.3%,4,-20.0%,,1,100.0%,38,15.2%,,5,400.0%,192,5.5%,
,167,-17.7%,3,0.0%,22,-15.4%,7,-36.4%,,1,-75.0%,139,28.7%,,2,100.0%,341,-4.2%,
,6181,-6.0%,244,-9.0%,824,-4.6%,534,-1.8%,,37,-15.9%,1772,20.3%,,138,26.6%,9730,-1.5%,
,172,6.2%,1,-66.7%,8,33.3%,1,0.0%,,0,-100.0%,21,16.7%,,5,100.0%,208,8.9%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,160,-4.2%,1,-50.0%,15,-11.8%,3,-25.0%,,2,-50.0%,4,-20.0%,,0,-100.0%,185,-7.5%,
,17,6.3%,,,2,-33.3%,,,,,,,,,1,-50.0%,20,-4.8%,
,163,1.2%,2,0.0%,13,8.3%,3,0.0%,,2,100.0%,67,26.4%,,4,33.3%,254,8.5%,
,48,9.1%,,,2,-33.3%,1,0.0%,,,,25,-21.9%,,3,0.0%,79,-4.8%,
,560,1.6%,4,-42.9%,40,-2.4%,8,-11.1%,,4,-20.0%,117,8.3%,,13,44.4%,746,2.2%,
,43,48.3%,2,-60.0%,3,-25.0%,2,0.0%,,,,2,0.0%,,,,52,23.8%,
,43,48.3%,2,-60.0%,3,-25.0%,2,0.0%,,,,2,0.0%,,,,52,23.8%,
,184,-2.1%,,,17,30.8%,5,0.0%,,,,12,20.0%,,7,16.7%,225,1.4%,
,176,12.8%,8,14.3%,45,2.3%,11,10.0%,,0,-100.0%,3,0.0%,,3,50.0%,246,10.3%,
,387,37.2%,8,-50.0%,44,-10.2%,16,23.1%,,4,33.3%,84,5.0%,,8,33.3%,551,22.7%,
,599,-0.7%,9,-10.0%,53,-19.7%,6,-14.3%,,1,0.0%,21,10.5%,,10,0.0%,699,-2.4%,
,466,12.8%,11,120.0%,56,5.7%,8,33.3%,,4,100.0%,,,,16,6.7%,561,13.6%,
,706,18.5%,27,-10.0%,67,3.1%,15,-11.8%,,5,0.0%,6,50.0%,,13,62.5%,839,15.7%,
,78,-8.2%,1,-50.0%,27,-22.9%,2,100.0%,,2,100.0%,4,33.3%,,3,0.0%,117,-8.6%,
,71,-6.6%,,,4,-33.3%,4,0.0%,,,,2,-60.0%,,5,66.7%,86,-8.5%,
,663,1.2%,22,0.0%,82,-4.7%,9,-10.0%,,4,33.3%,14,27.3%,,11,-8.3%,805,0.8%,
,30,-28.6%,2,0.0%,8,-20.0%,1,0.0%,,0,-100.0%,0,-100.0%,,,,41,-28.1%,
,1100,9.1%,50,8.7%,160,8.1%,43,59.3%,,9,80.0%,10,100.0%,,27,3.8%,1399,10.6%,
,576,21.8%,18,5.9%,51,27.5%,10,66.7%,,4,0.0%,3,50.0%,,17,88.9%,679,23.2%,
,221,8.3%,13,-43.5%,30,-11.8%,10,25.0%,,1,0.0%,24,41.2%,,4,0.0%,303,4.1%,
,5257,10.0%,169,-6.1%,644,-0.8%,140,22.8%,,34,30.8%,183,14.4%,,124,19.2%,6551,8.9%,
,1008,-4.8%,43,-2.3%,178,2.3%,100,7.5%,,3,50.0%,40,-13.0%,,31,10.7%,1403,-3.0%,
,271,5.9%,13,30.0%,27,-22.9%,23,9.5%,,1,0.0%,90,3.4%,,5,-28.6%,430,3.1%,
,296,1.0%,6,-45.5%,26,-10.3%,10,-9.1%,,,,61,8.9%,,8,33.3%,407,0.2%,
,97,2.1%,1,0.0%,6,0.0%,4,33.3%,,,,74,-6.3%,,5,66.7%,187,0.0%,
,25,0.0%,1,0.0%,2,100.0%,3,50.0%,,,,56,27.3%,,,,87,20.8%,
,1697,-1.8%,64,-4.5%,239,-2.0%,140,7.7%,,4,33.3%,321,2.9%,,49,11.4%,2514,-0.6%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,,,,,
