"Fall 2000
Science                    APHY APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Sub-Total
Veterinary                BIML
Medicine                  BIMS EPID GENE LAMD TOXI VMSC VPAT VPHY VTAN VTMD VTMI VTMS
Sub-Total
Distance                   EDTC
Education                 INEN PETE
Sub-Total
General Studies       GEST
GSEN
Sub-Total
Exchange                 REEP
Sub-Total
University                Total",Undergraduate,,,,,Masters,,,PhD,,Professional,,,Total,
,"1st Time in College
9
299
29
57
68
33
28
44
567
603
1
604
1288
1288
6685","1st Time PB
1
1
4
2
6
22","1st Time Transfer
1
83
7
2
11
16
9
7
19
155
67
9
76
72
72
1902","Re Admitted
3
6
1
4
1
2
1
1
19
8
6
14
67
67
548","Contin uing
95
421
88
5
131
103
137
46
119
1145
500
960
1460
1776
1
1777
21
21
27072",1st Time Graduate,1st Time Transfer,Contin uing,1st Time Graduate,Contin uing,1st Time Professional,Re Admitted,Contin uing,,
,,,,,,7,1,17,2,1,128,1,377,1,
,,,,,,,,,,,,,,108,
,,,,,,,,,,17,,,,851,
,,,,,,,,,,,,,,125,
,,,,,,,,,,3,,,,12,
,,,,,,45,,61,2,118,,,,429,
,,,,,,,,,,1,,,,1,
,,,,,,22,,39,9,41,,,,299,
,,,,,,4,,6,,18,,,,209,
,,,,,,18,,22,6,58,,,,186,
,,,,,,,,,,2,,,,2,
,,,,,,17,,20,11,39,,,,87,
,,,,,,,,,,1,,,,1,
,,,,,,3,,7,,10,,,,203,
,,,,,,116,,172,30,309,,,,2514,
,,,,,,,,,,,,,,1182,
,,,,,,,,12,,,,,,990,
,,,,,,1,,1,,,,,,2,
,,,,,,,,5,,9,,,,14,
,,,,,,1,,,,,,,,1,
,,,,,,1,,2,4,28,,,,35,
,,,,,,,,1,,,,,,1,
,,,,,,3,,2,1,6,,,,12,
,,,,,,4,,7,1,7,,,,19,
,,,,,,,,1,3,8,,,,12,
,,,,,,,,,,,,,,506,
,,,,,,4,,12,1,23,,,,40,
,,,,,,1,,4,,,,,,5,
,,,,,,15,,47,10,81,128,1,377,2819,
,,,,,,1,,,,,,,,1,
,,,,,,,,1,,,,,,1,
,,,,,,,,1,,,,,,1,
,,,,,,1,,2,,,,,,3,
,,,,,,,,,,,,,,3203,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3204,
,,,,,,,,,,,,,,21,
,,,,,,,,,,,,,,21,
,,,,,,1683,,2667,388,2552,128,1,377,44026,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,,,,
