Demographic Summary Fall 2000,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,
Fall 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,431,2.9%,200,4.2%,115,-3.4%,,,746,2.2%,
Gender,Male,242,7.1%,126,5.0%,87,-1.1%,,,455,4.8%,
,Female,189,-2.1%,74,2.8%,28,-9.7%,,,291,-1.7%,
Ethnic,White,374,3.0%,132,-1.5%,54,0.0%,,,560,1.6%,
Origin,Black,3,-40.0%,0,-100.0%,1,0.0%,,,4,-42.9%,
,Hispanic,34,3.0%,5,0.0%,1,-66.7%,,,40,-2.4%,
,Asian,4,0.0%,3,-25.0%,1,0.0%,,,8,-11.1%,
,American Indian,3,-40.0%,1,100.0%,,,,,4,-20.0%,
,International,6,20.0%,53,23.3%,58,-3.3%,,,117,8.3%,
,Unknown/Other,7,75.0%,6,20.0%,,,,,13,44.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,256,-3.0%,2,0.0%,,,,,258,-3.0%,
,22-25,138,16.0%,93,3.3%,2,-60.0%,,,233,8.9%,
,26-30,23,-4.2%,70,6.1%,44,12.8%,,,137,6.2%,
,31-39,10,25.0%,29,-6.5%,49,-18.3%,,,88,-11.1%,
,40+,4,0.0%,6,100.0%,20,33.3%,,,30,36.4%,
Enrollment,1st Time in College,61,-6.2%,,,,,,,61,-6.2%,
Status,1st Time PB,1,-66.7%,,,,,,,1,-66.7%,
,1st Time Graduate,,,57,14.0%,12,-7.7%,,,69,9.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,35,-20.5%,,,,,,,35,-20.5%,
,Re Admitted,5,-54.5%,,,,,,,5,-54.5%,
,Continuing,329,11.1%,143,0.7%,103,-2.8%,,,575,5.7%,
Tuition,Resident Tuition,396,3.9%,68,30.8%,20,5.3%,,,484,7.1%,
Status,Non-Resident Tuition,20,53.8%,30,0.0%,29,-6.5%,,,79,6.8%,
,Tuition Exemption/Waiver,15,-40.0%,102,-7.3%,66,-4.3%,,,183,-10.3%,
Residency,Texas Resident,396,1.0%,68,-6.8%,21,-8.7%,,,485,-0.6%,
Status,"Non-TX, US Resident",29,38.1%,79,3.9%,36,0.0%,,,144,8.3%,
,"Non-TX, Non-US Resident",6,0.0%,53,23.3%,58,-3.3%,,,117,7.3%,
SCH,< 6 SCH,2,-66.7%,38,-2.6%,32,-15.8%,,,72,-13.3%,
Categories,6-8 SCH,3,-25.0%,0,-100.0%,1,0.0%,,,4,-42.9%,
,9-11 SCH,18,28.6%,126,6.8%,82,6.5%,,,226,8.1%,
,12-14 SCH,274,3.4%,28,7.7%,0,-100.0%,,,302,3.1%,
,15-17 SCH,125,0.8%,3,200.0%,0,-100.0%,,,128,1.6%,
,>17 SCH,9,50.0%,5,-16.7%,,,,,14,16.7%,
Ft/Pt:,Less Than Half Time,2,-50.0%,33,-2.9%,29,-21.6%,,,64,-14.7%,
"TAMU
Status",Half-Time,3,-25.0%,5,-37.5%,4,100.0%,,,12,-14.3%,
,Three-Quarter Time,18,28.6%,,,,,,,18,28.6%,
,Full-Time,408,2.8%,162,8.0%,82,2.5%,,,652,4.0%,
"Prepared by OISP, 01 Nov 00",,,,,,,,,,,,
