Spring 2000,,White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,53,,3,,3,,6,,1,,49,,2,,116,,
,COMG,17,,,,2,,,,,,16,,,,35,,
,COSC,250,,3,,32,,1,,,,3,,5,,294,,
,COSL,199,,1,,17,,1,,,,,,6,,225,,
,ENDL,337,,7,,42,,12,,3,,4,,14,,419,,
,ENDS,249,,6,,48,,10,,1,,10,,2,,326,,
,LAND,81,,,,7,,,,,,4,,3,,95,,
,LANL,58,,,,5,,1,,,,2,,3,,69,,
,LDEV,15,,1,,1,,,,,,5,,,,22,,
,URPL,8,,1,,1,,,,,,9,,,,19,,
,URSC,20,,1,,2,,,,,,17,,,,40,,
,VIZA,33,,,,4,,5,,,,5,,,,47,,
,SubTotal,1320,,23,,164,,36,,5,,124,,35,,1707,,
Business Admin,ACCT,670,,15,,70,,9,,2,,22,,6,,794,,
,AGBU,7,,,,,,,,,,,,,,7,,
,BUAD,2097,,42,,163,,60,,9,,72,,30,,2473,,
,BUAG,7,,,,,,,,,,2,,,,9,,
,FINC,631,,12,,55,,15,,2,,25,,9,,749,,
,INFO,638,,28,,59,,52,,4,,27,,13,,821,,
,LCEM,1,,,,,,,,,,,,,,1,,
,MGMT,439,,11,,49,,12,,4,,24,,10,,549,,
,MISY,43,,,,7,,5,,1,,20,,,,76,,
,MKTG,653,,18,,54,,13,,4,,23,,10,,775,,
,MLER,23,,,,1,,,,,,3,,,,27,,
,SubTotal,5209,,126,,458,,166,,26,,218,,78,,6281,,
Education,CPSY,40,,1,,9,,1,,,,,,1,,52,,
,EDAD,220,,37,,37,,3,,1,,1,,1,,300,,
,EDCI,105,,33,,19,,3,,,,19,,3,,182,,
,EDHL,184,,7,,24,,3,,1,,,,2,,221,,
,EDIS,705,,5,,50,,6,,5,,1,,10,,782,,
,EDIT,2,,,,,,,,,,,,,,2,,
,EDKI,461,,15,,38,,3,,3,,1,,6,,527,,
,EDTC,35,,,,,,1,,1,,9,,1,,47,,
,EHRD,133,,11,,17,,,,2,,11,,3,,177,,
,EPSY,93,,7,,11,,1,,2,,6,,,,120,,
,HEED,18,,1,,1,,1,,,,,,,,21,,
,HLTH,132,,9,,24,,4,,2,,,,1,,172,,
,IDTC,2,,,,,,,,,,,,,,2,,
,INST,559,,6,,48,,3,,2,,1,,2,,621,,
,KINE,289,,4,,30,,,,1,,5,,2,,331,,
,PHED,12,,,,3,,1,,,,,,1,,17,,
,SPSY,22,,5,,18,,,,,,3,,1,,49,,
,TECR,43,,2,,4,,3,,1,,,,,,53,,
,SubTotal,3055,,143,,333,,33,,21,,57,,34,,3676,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,
