"Summer 2000
Engineering               AERO CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
SubTotal
Geosciences              ATMO GEOG GEOL GEPL OCNG
SubTotal
G. Bush School        BUSH
of Govt                     SubTotal
Liberal Arts               ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
SubTotal
Science                     BIOL CHEM MATH PHYS STAT
SubTotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,118,,2,,19,,4,,,2,,46,,,3,,194,,
,200,,9,,30,,31,,,1,,76,,,10,,357,,
,31,,5,,8,,2,,,,,6,,,,,52,,
,358,,8,,32,,68,,,,,159,,,8,,633,,
,303,,9,,54,,8,,,3,,126,,,1,,504,,
,233,,17,,44,,60,,,1,,306,,,3,,664,,
,350,,31,,55,,26,,,2,,13,,,9,,486,,
,160,,13,,27,,19,,,,,119,,,1,,339,,
,391,,7,,49,,22,,,1,,135,,,6,,611,,
,46,,1,,11,,3,,,,,22,,,1,,84,,
,40,,,,6,,1,,,,,82,,,,,129,,
,2230,,102,,335,,244,,,10,,1090,,,42,,4053,,
,66,,,,3,,1,,,,,15,,,2,,87,,
,90,,,,12,,2,,,,,1,,,,,105,,
,2,,,,1,,,,,,,,,,,,3,,
,72,,,,3,,1,,,,,33,,,2,,111,,
,33,,,,2,,1,,,,,22,,,3,,61,,
,263,,,,21,,5,,,,,71,,,7,,367,,
,26,,1,,3,,1,,,,,1,,,,,32,,
,26,,1,,3,,1,,,,,1,,,,,32,,
,54,,,,6,,3,,,,,3,,,,,66,,
,58,,3,,25,,5,,,,,3,,,2,,96,,
,202,,4,,21,,7,,,1,,27,,,2,,264,,
,240,,5,,36,,4,,,,,11,,,3,,299,,
,171,,3,,26,,1,,,1,,,,,4,,206,,
,270,,13,,34,,6,,,3,,4,,,2,,332,,
,20,,,,18,,1,,,,,,,,1,,40,,
,22,,,,3,,2,,,,,,,,1,,28,,
,269,,8,,26,,3,,,1,,9,,,4,,320,,
,9,,1,,6,,,,,,,,,,,,16,,
,422,,20,,65,,17,,,4,,6,,,8,,542,,
,215,,10,,18,,2,,,3,,1,,,4,,253,,
,120,,12,,20,,3,,,1,,9,,,1,,166,,
,2072,,79,,304,,54,,,14,,73,,,32,,2628,,
,286,,24,,44,,25,,,2,,34,,,12,,427,,
,150,,5,,13,,13,,,1,,77,,,3,,262,,
,89,,4,,8,,6,,,,,38,,,2,,147,,
,91,,3,,3,,2,,,1,,63,,,2,,165,,
,12,,,,,,1,,,,,32,,,,,45,,
,628,,36,,68,,47,,,4,,244,,,19,,1046,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,,
