Undergraduate,,,,,,,,,,,,,,,,
Masters,,,,,,,,,,,,,,,,
PhD,,,,,,,,,,,,,,,,
Professional,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
"Summer 2000
Agriculture       WFSC",,"#
150",,% chg,#,59,% chg,#,41,% chg,#,% chg,"#
250",,% chg,
,WISC,,,,,,,,5,,,,5,,,
,SubTotal,2260,,,441,,,381,,,,,3082,,,
Architecture,ARCH,,,,,61,,,13,,,,,74,,
,COMG,,,,,20,,,,,,,,20,,
,COSC,,151,,,,,,,,,,,151,,
,COSL,,59,,,,,,,,,,,59,,
,ENDL,,85,,,,,,,,,,,85,,
,ENDS,,210,,,,,,,,,,,210,,
,LADE,,,,,3,,,,,,,,3,,
,LAND,,18,,,17,,,,,,,,35,,
,LANL,,11,,,,,,,,,,,11,,
,LDEV,,,,,16,,,,,,,,16,,
,URPL,,,,,9,,,,,,,,9,,
,URSC,,,,,,,,21,,,,,21,,
,VIZA,,,,,31,,,,,,,,31,,
,SubTotal,534,,157,,,34,,,725,,,,,,
Business,ACCT,,445,,,86,,,18,,,,,549,,
Admin,AGBU,,3,,,,,,,,,,,3,,
,BUAD,,454,,,81,,,,,,,,535,,
,BUAG,,2,,,,,,,,,,,2,,
,FINC,,354,,,86,,,7,,,,,447,,
,INFO,,394,,,,,,16,,,,,410,,
,MGMT,,271,,,29,,,26,,,,,326,,
,MISY,,,,,43,,,,,,,,43,,
,MKTG,,476,,,13,,,11,,,,,500,,
,MLER,,,,,20,,,,,,,,20,,
,SubTotal,2399,,358,,,78,,,2835,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,
