Summer 2000,,Undergraduate,,Masters,,,PhD,,,Professional,,Total,,
,,#,% chg,#,,% chg,#,,% chg,#,% chg,#,% chg,
Engineering,RHEN,5,,,5,,522,,,,,5,,
,SENG,,,,,,,,,,,5,,
,SubTotal,2753,,778,,,,,,,,4053,,
Geosciences,ATMO,,,,7,,,2,,,,9,,
,ESCI,5,,,,,,,,,,5,,
,GEOG,83,,,16,,,6,,,,105,,
,GEOL,42,,,23,,,15,,,,80,,
,GEOP,8,,,4,,,17,,,,29,,
,GEOS,,,,1,,,,,,,1,,
,METR,41,,,27,,,10,,,,78,,
,OCNG,,,,30,,,30,,,,60,,
,SubTotal,179,,108,,,80,,,,,367,,
G. Bush,BUSH,,,,31,,,,,,,31,,
School of Govt,"PADM
SubTotal",,,32,1,,,,,,,"1
32",,
Liberal Arts,ANTH,38,,,20,,,8,,,,66,,
,ECOL,1,,,,,,,,,,1,,
,ECON,226,,,11,,,26,,,,263,,
,ENGL,232,,,20,,,47,,,,299,,
,FREN,2,,,,,,,,,,2,,
,GERM,3,,,,,,,,,,3,,
,HIST,180,,,14,,,12,,,,206,,
,INTS,96,,,,,,,,,,96,,
,JOUR,320,,,1,,,,,,,321,,
,MODL,,,,2,,,,,,,2,,
,PHIL,22,,,6,,,,,,,28,,
,POLS,281,,,5,,,34,,,,320,,
,PSYC,472,,,29,,,41,,,,542,,
,RUSS,2,,,,,,,,,,2,,
,SCOM,236,,,7,,,8,,,,251,,
,SOCI,138,,,14,,,14,,,,166,,
,SPAN,31,,,,,,,,,,31,,
,STJR,,,,11,,,,,,,11,,
,THAR,18,,,,,,,,,,18,,
,SubTotal,2298,,140,,,190,,,,,2628,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,
