Top 10,,,,,,,
Summer 2000  Feeder Patterns Undergraduate Transfer,,,,,,,
Texas County   Students  % Total,,,,,,,
Harris,,,50,,17.1%,,
Brazos,,,48,,16.4%,,
Dallas,,,11,,3.8%,,
Bexar,,,9,,3.1%,,
Montgomery,,,7,,2.4%,,
Collin,,,6,,2.1%,,
Washington,,,6,,2.1%,,
Titus,,,5,,1.7%,,
Midland,,,5,,1.7%,,
Tarrant,,,5,,1.7%,,
State,Students  % Total,,,,,,
Texas,272,,,93.2%,,,
Colorado,1,,,0.3%,,,
Louisiana,1,,,0.3%,,,
Kansas,1,,,0.3%,,,
California,1,,,0.3%,,,
Ohio,1,,,0.3%,,,
Tennessee,1,,,0.3%,,,
Alabama,1,,,0.3%,,,
Country,,Students  % Total,,,,,
United States,,272,,,93.2%,,
Indonesia,,3,,,1.0%,,
Guatemala,,2,,,0.7%,,
Brazil,,1,,,0.3%,,
Turkey,,1,,,0.3%,,
Japan,,1,,,0.3%,,
Honduras,,1,,,0.3%,,
Belgium,,1,,,0.3%,,
"Viet Nam, (South)",,1,,,0.3%,,
Bolivia,,1,,,0.3%,,
