"Fall 2001
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
Geosciences             ATMO GEOG GEPL OCNG
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,Masters,,,PhD,,,Professional,,Total,
,"1st Time in College
106
45
142
37
80
10
3
1
6
14
8
6
10
8
27
503
103
34
9
146
850
850
106
187
293
209
108
113
253
130
234
33
106
211
28
33
1458
42
2
16
60","1st Time PB
3
1
3
1
1
9
2
2
2
1
8
1
1
13
2
2","1st Time Transfer
86
66
62
19
19
26
1
10
18
11
16
15
33
16
31
429
20
33
14
67
9
32
3
3
2
2
51
8
110
178
296
13
18
26
41
101
46
25
47
9
11
337
9
12
15
36","Re Admitted
11
21
13
5
3
42
2
2
10
10
6
10
3
10
148
4
7
11
5
14
8
9
6
7
49
14
23
37
1
4
1
9
12
11
26
5
11
1
5
86
1
1
2","Contin uing
599
660
796
275
318
340
29
34
111
134
109
99
272
117
338
4231
587
494
114
1195
532
1117
600
564
359
817
3989
2
1084
1375
2461
285
420
93
829
698
816
1177
418
745
96
157
5734
100
132
102
334",1st Time Graduate,Re Admitted,Contin uing,1st Time Graduate,Re Admitted,Contin uing,1st Time Professional,Contin uing,,
,,,,,,21,1,66,4,1,41,,,935,
,,,,,,21,,36,5,,43,,,900,
,,,,,,27,1,90,5,,46,,,1183,
,,,,,,8,,19,3,,9,,,375,
,,,,,,29,,20,4,,70,,,543,
,,,,,,,,,,,,,,421,
,,,,,,12,,17,3,,26,,,91,
,,,,,,1,,3,,,11,,,62,
,,,,,,7,,24,2,,17,,,187,
,,,,,,3,,9,2,,23,,,207,
,,,,,,2,,16,3,,14,,,178,
,,,,,,5,1,23,3,,20,,,178,
,,,,,,4,,24,6,,17,,,376,
,,,,,,20,,38,7,,49,,,258,
,,,,,,29,1,69,10,,58,,,575,
,,,,,,189,4,454,57,1,444,,,6469,
,,,,,,76,2,129,10,,33,,,964,
,,,,,,32,1,26,,,,,,627,
,,,,,,36,1,26,3,,42,,,245,
,,,,,,144,4,181,13,,75,,,1836,
,,,,,,89,,27,2,,17,,,681,
,,,,,,156,,175,,,,,,2344,
,,,,,,103,,60,1,,6,,,781,
,,,,,,63,2,45,2,,12,,,700,
,,,,,,16,,17,4,,19,,,423,
,,,,,,33,,16,2,,8,,,885,
,,,,,,460,2,340,11,,62,,,5814,
,,,,,,25,,152,16,6,280,,,489,
,,,,,,51,,119,18,,158,,,346,
,,,,,,26,,29,9,,31,,,1409,
,,,,,,48,1,108,15,,95,,,2032,
,,,,,,150,1,408,58,6,564,,,4276,
,,,,,,19,,40,7,1,35,,,610,
,,,,,,15,,29,9,,58,,,661,
,,,,,,1,,3,,,21,,,232,
,,,,,,69,,128,8,,83,,,1407,
,,,,,,63,,90,18,,99,,,1152,
,,,,,,32,,125,13,2,153,,,1495,
,,,,,,,,,,,,,,1282,
,,,,,,98,1,111,7,,64,,,836,
,,,,,,79,,161,15,,80,,,1350,
,,,,,,13,,33,1,,23,,,204,
,,,,,,45,,91,3,,28,,,373,
,,,,,,434,1,811,81,3,644,,,9602,
,,,,,,9,,29,1,,13,,,206,
,,,,,,4,,14,4,,16,,,185,
,,,,,,17,,59,6,,35,,,250,
,,,,,,6,,46,4,,26,,,82,
,,,,,,36,,148,15,,90,,,723,
,,,,,,26,,37,,,,,,63,
,,,,,,26,,37,,,,,,63,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,
