"Fall 2001
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other Special           CLMD
Populations              COFD INEN SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,PhD,,,Professional,,Total,
,"1st Time in College
10
31
19
52
45
100
9
8
145
3
208
84
21
735
363
50
66
25
504
487
487
1724
1724
6760","1st Time PB
1
1
2
28","1st Time Transfer
4
14
33
18
33
47
4
4
45
73
36
12
323
93
10
16
2
121
75
75
128
128
1863","Re Admitted
3
3
13
11
12
7
3
13
20
12
97
11
5
5
2
23
12
12
103
103
568","Contin uing
99
224
513
485
414
656
78
61
653
26
1060
616
209
5094
816
119
219
50
1204
1401
1401
1719
1719
22
22
27384",1st Time Graduate,Re Admitted,Contin uing,1st Time Graduate,Re Admitted,Contin uing,1st Time Professional,Contin uing,,
,,,,,,17,1,64,4,1,35,129,368,237,
,,,,,,,,,,,,,,272,
,,,,,,21,,14,6,,51,,,670,
,,,,,,13,,29,4,,70,,,682,
,,,,,,6,,20,4,,40,,,574,
,,,,,,2,,10,,,,,,822,
,,,,,,4,1,8,,,,,,104,
,,,,,,10,,18,,,,,,104,
,,,,,,14,,8,3,,28,,,909,
,,,,,,,,,,,,,,29,
,,,,,,14,,28,2,,53,,,1458,
,,,,,,4,,11,7,,18,,,788,
,,,,,,6,,19,8,,29,,,304,
,,,,,,111,2,229,38,,324,,,6953,
,,,,,,10,,29,1,,53,,,1378,
,,,,,,54,,62,,,121,,,422,
,,,,,,27,1,33,5,,39,,,411,
,,,,,,17,,29,8,1,55,,,189,
,,,,,,20,,30,3,,44,,,97,
,,,,,,128,1,183,17,2,312,,,2497,
,,,,,,,,,,,,,,2472,
,,,,,,4,,5,,,22,,,31,
,,,,,,2,,2,,,,,,4,
,,,,,,1,,1,,,,,,2,
,,,,,,11,,18,3,,33,,,65,
,,,,,,5,,11,2,,23,,,41,
,,,,,,23,,37,5,,78,129,368,2615,
,,,,,,,,,,,,,,3674,
,,,,,,,,,,,,,,3674,
,,,,,,,,15,,,1,,,16,
,,,,,,11,,,,,,,,11,
,,,,,,,,1,,,,,,1,
,,,,,,,,15,,,,,,37,
,,,,,,,,31,,,,,,31,
,,,,,,11,,62,,,1,,,96,
,,,,,,1712,15,2890,295,12,2594,129,368,44618,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,
