Demographic Summary by Housing,,,,,,,,,
Fall 2001,,,,,,,,,
"Fall 2001
Head Count       Total
Gender              Male Female
Ethnic                White
Origin                Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine General Studies
Other Special Populations Enrollment        1st Time in College Status                1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer
Re Admitted Continuing
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,Masters,,PhD,Professional,GRAND Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Off-campus,Off-campus,Dorm,
,,(On-campus),,(On-campus),,,,(On-campus),
,26749,9854,4606,11,2901,497,34753,9865,
,13357,5396,2770,7,1847,154,18128,5403,
,13392,4458,1836,4,1054,343,16625,4462,
,22312,7728,2382,8,1325,446,26465,7736,
,553,336,91,,93,,737,336,
,2139,1144,227,,145,23,2534,1144,
,820,383,88,1,45,18,971,384,
,136,51,8,,7,4,155,51,
,385,87,1752,2,1253,,3390,89,
,404,125,58,,33,6,501,125,
,22,46,,,,,22,46,
,16974,9265,92,2,,30,17096,9267,
,8732,529,2298,7,204,284,11518,536,
,654,10,1263,2,1010,130,3057,12,
,257,4,614,,1101,44,2016,4,
,110,,339,,586,9,1044,,
,4417,903,647,,502,,5566,903,
,1119,300,328,1,88,,1535,301,
,3761,1178,800,2,73,,4634,1180,
,2642,447,558,1,628,,3828,448,
,5111,2517,1240,6,728,,7079,2523,
,319,115,184,,105,,608,115,
,,,63,,,,63,,
,4848,1401,341,1,362,,5551,1402,
,1126,728,312,,331,,1769,728,
,1328,647,60,,83,497,1968,647,
,2074,1600,,,,,2074,1600,
,4,18,73,,1,,78,18,
,1824,4936,,,,,1824,4936,
,28,,,,,,28,,
,,,1705,7,295,,2000,7,
,,,,,,129,129,,
,1654,209,,,,,1654,209,
,534,34,15,,12,,561,34,
,22709,4675,2886,4,2594,368,28557,4679,
,25496,9248,2137,9,1115,476,29224,9257,
,821,253,711,1,455,8,1995,254,
,432,353,1758,1,1331,13,3534,354,
,25536,9275,2161,9,1121,476,29294,9284,
,821,488,690,,518,21,2050,488,
,392,91,1755,2,1262,,3409,93,
,715,57,727,,815,,2257,57,
,858,24,337,,131,,1326,24,
,1474,84,2465,6,1808,,5747,90,
,15984,7330,812,3,129,1,16926,7333,
,7217,2279,240,2,15,2,7474,2281,
,501,80,25,,3,494,1023,80,
,571,56,634,,699,,1904,56,
,741,24,429,,247,,1417,24,
,1352,83,,,,,1352,83,
,24085,9691,3543,11,1955,497,30080,9702,
"Prepared by OISP, 11 Oct 01",,,,,,,,,
