Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,63,21.2%,,,,,63,21.2%,
Gender,Male,,,32,10.3%,,,,,32,10.3%,
,Female,,,31,34.8%,,,,,31,34.8%,
Ethnic,White,,,49,14.0%,,,,,49,14.0%,
Origin,Black,,,3,50.0%,,,,,3,50.0%,
,Hispanic,,,6,100.0%,,,,,6,100.0%,
,Asian,,,1,-50.0%,,,,,1,-50.0%,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,2,0.0%,,,,,2,0.0%,
,Unknown/Other,,,1,100.0%,,,,,1,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,2,100.0%,,,,,2,100.0%,
,22-25,,,39,2.6%,,,,,39,2.6%,
,26-30,,,15,50.0%,,,,,15,50.0%,
,31-39,,,3,50.0%,,,,,3,50.0%,
,40+,,,4,100.0%,,,,,4,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,26,18.2%,,,,,26,18.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,37,23.3%,,,,,37,23.3%,
Tuition,Resident Tuition,,,34,21.4%,,,,,34,21.4%,
Status,Non-Resident Tuition,,,1,100.0%,,,,,1,100.0%,
,Tuition Exemption/Waiver,,,28,16.7%,,,,,28,16.7%,
Residency,Texas Resident,,,38,35.7%,,,,,38,35.7%,
Status,"Non-TX, US Resident",,,23,4.5%,,,,,23,4.5%,
,"Non-TX, Non-US Resident",,,2,0.0%,,,,,2,0.0%,
SCH,< 6 SCH,,,9,80.0%,,,,,9,80.0%,
Categories,6-8 SCH,,,5,400.0%,,,,,5,400.0%,
,9-11 SCH,,,2,0.0%,,,,,2,0.0%,
,12-14 SCH,,,46,4.5%,,,,,46,4.5%,
,15-17 SCH,,,1,100.0%,,,,,1,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,9,80.0%,,,,,9,80.0%,
"TAMU
Status",Half-Time,,,5,400.0%,,,,,5,400.0%,
,Full-Time,,,49,6.5%,,,,,49,6.5%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
