"Spring 2001
Science                    BIOL CHEM MATH PHYS STAT
SubTotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
SubTotal
Distance                  EDCI
Education       EPSY INEN INFO PETE
SubTotal
General Studies       GEST
SubTotal
Exchange                SABX
SubTotal
Total",Undergraduate,,Masters,,PhD,,Professional,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,1131,2.1%,36,-20.0%,58,7.4%,,,1225,1.5%,
,176,5.4%,98,8.9%,121,3.4%,,,395,5.6%,
,270,-0.4%,40,-14.9%,52,15.6%,,,362,-0.3%,
,66,11.9%,31,-8.8%,68,-2.9%,,,165,1.2%,
,,,31,29.2%,53,17.8%,,,84,21.7%,
,1643,2.4%,236,-1.7%,352,6.3%,,,2231,2.5%,
,1931,-1.7%,9,100.0%,,,501,1.6%,2441,-0.7%,
,,,5,-16.7%,26,-3.7%,,,31,-6.1%,
,,,4,33.3%,,,,,4,33.3%,
,,,2,0.0%,,,,,2,0.0%,
,,,21,0.0%,35,0.0%,,,56,0.0%,
,,,11,-15.4%,28,-9.7%,,,39,-11.4%,
,1931,-1.7%,52,15.6%,89,-4.3%,501,1.6%,2573,-0.8%,
,,,0,-100.0%,,,,,0,-100.0%,
,,,1,100.0%,,,,,1,100.0%,
,,,2,100.0%,,,,,2,100.0%,
,,,0,-100.0%,,,,,0,-100.0%,
,,,0,-100.0%,,,,,0,-100.0%,
,,,3,-25.0%,,,,,3,-25.0%,
,2911,5.5%,,,,,,,2911,5.5%,
,2911,5.5%,,,,,,,2911,5.5%,
,21,100.0%,4,100.0%,,,,,25,100.0%,
,21,100.0%,4,100.0%,,,,,25,100.0%,
,33759,0.5%,3945,6.6%,2889,1.5%,501,1.6%,41094,1.2%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,
