Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1372,-2.0%,254,7.2%,82,17.1%,,,1708,0.1%,
Gender,Male,935,-3.5%,160,3.2%,65,20.4%,,,1160,-1.5%,
,Female,437,1.4%,94,14.6%,17,6.3%,,,548,3.6%,
Ethnic,White,1147,-0.4%,125,-9.4%,27,-10.0%,,,1299,-1.6%,
Origin,Black,17,0.0%,3,-25.0%,3,50.0%,,,23,0.0%,
,Hispanic,130,-13.3%,12,0.0%,2,0.0%,,,144,-12.2%,
,Asian,24,-4.0%,7,-22.2%,2,0.0%,,,33,-8.3%,
,American Indian,6,20.0%,1,100.0%,,,,,7,40.0%,
,International,17,-10.5%,105,47.9%,47,38.2%,,,169,36.3%,
,Unknown/Other,31,-3.1%,1,-66.7%,1,100.0%,,,33,-5.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,624,-4.7%,1,100.0%,,,,,625,-4.6%,
,22-25,696,1.5%,83,9.2%,2,100.0%,,,781,2.4%,
,26-30,35,-10.3%,116,6.4%,17,13.3%,,,168,3.1%,
,31-39,13,-13.3%,41,17.1%,42,27.3%,,,96,15.7%,
,40+,4,-20.0%,13,-23.5%,21,0.0%,,,38,-11.6%,
Enrollment,1st Time in College,3,50.0%,,,,,,,3,50.0%,
Status,1st Time PB,2,n/a,,,,,,,2,n/a,
,1st Time Graduate,,,10,-47.4%,2,-60.0%,,,12,-50.0%,
,1st Time Transfer,30,30.4%,,,,,,,30,30.4%,
,Re Admitted,10,11.1%,,,,,,,10,11.1%,
,Continuing,1327,-2.9%,244,11.9%,80,23.1%,,,1651,0.1%,
Tuition,Resident Tuition,1308,-0.1%,120,-4.0%,27,3.8%,,,1455,-0.3%,
Status,Non-Resident Tuition,35,-23.9%,45,4.7%,22,10.0%,,,102,-6.4%,
,Tuition Exemption/Waiver,29,-35.6%,89,29.0%,33,37.5%,,,151,9.4%,
Residency,Texas Resident,1308,-0.3%,120,-8.4%,27,35.0%,,,1455,-0.5%,
Status,"Non-TX, US Resident",47,-29.9%,29,-14.7%,8,-50.0%,,,84,-28.2%,
,"Non-TX, Non-US Resident",17,-19.0%,105,45.8%,47,38.2%,,,169,33.1%,
SCH,< 6 SCH,8,-63.6%,32,6.7%,27,8.0%,,,67,-13.0%,
Categories,6-8 SCH,42,20.0%,15,25.0%,5,400.0%,,,62,29.2%,
,9-11 SCH,83,25.8%,91,5.8%,42,7.7%,,,216,13.1%,
,12-14 SCH,800,1.4%,85,-6.6%,3,-25.0%,,,888,0.5%,
,15-17 SCH,413,-7.2%,29,123.1%,4,300.0%,,,446,-2.8%,
,>17 SCH,26,-39.5%,2,-60.0%,1,100.0%,,,29,-39.6%,
Ft/Pt:,Less Than Half Time,8,-27.3%,30,30.4%,24,20.0%,,,62,14.8%,
TAMU,Half-Time,42,20.0%,17,-10.5%,8,33.3%,,,67,11.7%,
Status,Three-Quarter Time,83,18.6%,,,,,,,83,18.6%,
,Full-Time,1239,-3.5%,207,6.2%,50,13.6%,,,1496,-1.8%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
