"Spring 2001
Engineering             AERO CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
SubTotal
Geosciences             ATMO GEOG GEOL GEPL OCNG
SubTotal
G. Bush School       BUSH
of Govt                    SubTotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
SubTotal
Science                    BIOL CHEM MATH PHYS STAT
SubTotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,% chg,#,% chg,
,342,7.2%,7,40.0%,52,18.2%,14,-26.3%,,2,0.0%,69,19.0%,11,-8.3%,497,8.3%,
,424,-11.3%,13,-40.9%,52,-7.1%,54,1.9%,,1,-75.0%,109,13.5%,16,23.1%,669,-7.3%,
,81,19.1%,15,200.0%,46,76.9%,8,33.3%,,,,9,12.5%,6,100.0%,165,46.0%,
,847,-8.4%,27,-30.8%,68,-4.2%,119,-7.8%,,5,150.0%,250,14.2%,18,-5.3%,1334,-5.0%,
,715,-0.6%,23,43.8%,87,-9.4%,26,30.0%,,5,25.0%,196,1.6%,11,37.5%,1063,0.7%,
,680,-2.4%,34,-2.9%,111,24.7%,128,-6.6%,,8,14.3%,390,-3.2%,16,45.5%,1367,-0.9%,
,985,1.9%,51,-5.6%,139,-0.7%,57,23.9%,,8,-11.1%,22,-8.3%,18,5.9%,1280,1.8%,
,379,-5.5%,24,-22.6%,54,-26.0%,47,4.4%,,2,100.0%,231,31.3%,11,57.1%,748,1.9%,
,865,-10.9%,8,-33.3%,87,-13.9%,37,12.1%,,1,-80.0%,231,29.1%,17,6.3%,1246,-5.4%,
,106,0.0%,7,16.7%,20,81.8%,6,50.0%,,0,-100.0%,37,23.3%,4,100.0%,180,12.5%,
,160,-10.1%,4,100.0%,22,4.8%,6,-33.3%,,0,-100.0%,111,8.8%,2,100.0%,305,-3.8%,
,5584,-4.2%,213,-6.2%,738,1.4%,502,0.2%,,32,-17.9%,1655,11.2%,130,22.6%,8854,-0.7%,
,148,-3.3%,1,-50.0%,6,20.0%,1,100.0%,,,,19,26.7%,3,100.0%,178,1.7%,
,153,-3.2%,3,50.0%,14,0.0%,3,0.0%,,2,-33.3%,5,0.0%,2,100.0%,182,-2.2%,
,19,216.7%,,,1,0.0%,,,,,,,,0,-100.0%,20,150.0%,
,148,-3.9%,0,-100.0%,11,-26.7%,3,0.0%,,2,100.0%,66,29.4%,3,0.0%,233,2.6%,
,44,4.8%,,,2,-33.3%,1,0.0%,,,,26,-10.3%,3,0.0%,76,-2.6%,
,512,-0.2%,4,-20.0%,34,-10.5%,8,14.3%,,4,33.3%,116,16.0%,11,37.5%,689,2.2%,
,44,51.7%,2,-60.0%,3,-25.0%,1,-50.0%,,,,2,0.0%,,,52,23.8%,
,44,51.7%,2,-60.0%,3,-25.0%,1,-50.0%,,,,2,0.0%,,,52,23.8%,
,181,-1.1%,1,100.0%,20,53.8%,5,25.0%,,,,13,18.2%,5,25.0%,225,4.7%,
,178,7.9%,8,14.3%,43,2.4%,7,-30.0%,,0,-100.0%,4,100.0%,3,100.0%,243,7.0%,
,430,32.3%,6,-53.8%,41,-2.4%,17,30.8%,,3,-25.0%,78,8.3%,9,12.5%,584,22.4%,
,593,3.1%,11,57.1%,56,-5.1%,6,-14.3%,,1,100.0%,20,0.0%,10,-9.1%,697,2.7%,
,452,6.9%,13,116.7%,58,0.0%,10,25.0%,,6,200.0%,,,14,-22.2%,553,7.4%,
,654,5.0%,21,-27.6%,61,-3.2%,16,0.0%,,4,-20.0%,7,40.0%,14,55.6%,777,3.6%,
,76,-3.8%,1,0.0%,30,-6.3%,2,100.0%,,1,0.0%,4,100.0%,3,-25.0%,117,-2.5%,
,74,1.4%,,,2,-50.0%,4,0.0%,,,,0,-100.0%,6,50.0%,86,-3.4%,
,675,6.1%,22,0.0%,78,-9.3%,13,30.0%,,6,100.0%,13,-13.3%,11,-15.4%,818,4.2%,
,40,5.3%,2,0.0%,10,0.0%,1,0.0%,,0,-100.0%,0,-100.0%,,,53,0.0%,
,1061,7.0%,49,2.1%,154,4.1%,46,39.4%,,7,0.0%,9,12.5%,30,42.9%,1356,7.9%,
,557,17.8%,18,-10.0%,59,51.3%,13,44.4%,,5,0.0%,3,50.0%,14,55.6%,669,20.1%,
,203,1.0%,12,-33.3%,33,0.0%,9,0.0%,,1,100.0%,24,41.2%,4,33.3%,286,1.8%,
,5174,8.1%,164,-5.2%,645,2.5%,149,19.2%,,34,17.2%,175,10.1%,123,18.3%,6464,7.6%,
,875,0.3%,37,-9.8%,152,4.8%,92,8.2%,,2,0.0%,38,5.6%,29,11.5%,1225,1.5%,
,249,8.7%,13,18.2%,20,-28.6%,18,-5.3%,,1,0.0%,89,9.9%,5,0.0%,395,5.6%,
,265,1.9%,5,-44.4%,19,-29.6%,9,-10.0%,,,,56,9.8%,8,33.3%,362,-0.3%,
,82,3.8%,1,0.0%,6,-14.3%,3,50.0%,,,,69,-2.8%,4,33.3%,165,1.2%,
,21,0.0%,1,0.0%,2,100.0%,3,50.0%,,,,57,26.7%,,,84,21.7%,
,1492,2.1%,57,-9.5%,199,-3.9%,125,5.9%,,3,0.0%,309,8.8%,46,15.0%,2231,2.5%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,
