Spring 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Architecture,ARCH,42,14,3,2,4,1,3,3,3,2,44,38,1,1,97,56,153,
,COMG,13,,,,3,,,,,,12,4,,,28,4,32,
,COSC,226,21,1,,18,2,2,,,,1,,7,,255,24,279,
,COSL,184,19,1,,22,7,,2,,,1,,,,211,28,239,
,ENDL,164,148,6,,16,12,6,3,1,,3,,5,7,201,172,373,
,ENDS,140,128,2,5,30,16,4,4,2,,7,3,4,2,189,158,347,
,LADE,1,,,,,,,,,,,,,,1,,1,
,LAND,35,21,,,2,,,1,,,1,5,3,,41,27,68,
,LANL,41,33,,,1,5,2,,,,,2,2,1,46,41,87,
,LDEV,10,2,,,,,,,,,3,2,,,13,4,17,
,URPL,2,2,,1,,,,,,,7,7,,,9,10,19,
,URSC,17,2,,2,1,1,,,,,18,4,,,36,9,45,
,VIZA,26,8,,,2,1,2,1,1,,2,5,,,33,15,48,
,Subtotal,901,398,13,10,99,45,19,14,7,,99,70,22,11,1160,548,1708,
Business Admin,ACCT,235,368,2,11,16,34,3,10,2,,5,15,5,4,268,444,712,
,AGBU,5,1,,,,,,,,,,,,,5,1,6,
,BUAD,912,899,20,30,60,79,26,40,7,6,58,18,16,12,1099,1084,2183,
,BUAG,1,2,,,,,,,,,1,1,,,2,3,5,
,FINC,357,255,6,4,31,17,10,4,1,,10,17,6,3,421,300,721,
,INFO,325,185,2,8,19,22,17,19,2,1,15,7,8,4,388,246,634,
,MGMT,218,147,1,5,33,20,3,6,2,,12,10,4,4,273,192,465,
,MISY,33,15,,,2,,1,2,,,17,5,,,53,22,75,
,MKTG,224,509,2,9,17,37,3,8,2,1,7,13,4,10,259,587,846,
,MLER,18,4,,,1,,,,,,2,,,,21,4,25,
,Subtotal,2328,2385,33,67,179,209,63,89,16,10,127,86,43,37,2789,2883,5672,
Education,CPSY,20,18,,1,1,4,1,1,,,,1,,1,22,26,48,
,EDAD,91,128,15,20,14,20,,3,1,,1,6,1,2,123,179,302,
,EDCI,19,93,7,41,5,17,,2,,,3,14,1,1,35,168,203,
,EDHL,19,179,,10,3,23,,4,,1,,,1,1,23,218,241,
,EDIS,29,856,1,9,2,47,1,6,,8,,,1,11,34,937,971,
,EDIT,2,2,,,,1,,,,,,,,,2,3,5,
,EDKI,235,299,8,7,32,20,1,2,,2,2,2,9,2,287,334,621,
,EDTC,7,25,,,,1,,,,,1,5,,,8,31,39,
,EHRD,62,73,5,3,8,14,,,1,1,5,10,4,,85,101,186,
,EPSY,20,105,1,9,1,24,,2,,2,1,11,,1,23,154,177,
,HEED,3,10,,1,,,,,,,,,,,3,11,14,
,HLTH,9,85,1,5,5,9,2,2,,,,,1,1,18,102,120,
,IDTC,1,,,,,,,,,,,,,,1,,1,
,INST,14,484,,5,3,32,,4,,1,,1,,5,17,532,549,
,KINE,143,136,4,1,16,5,,1,1,1,5,1,2,2,171,147,318,
,PHED,8,4,,,2,1,1,,,,,,,,11,5,16,
,SPSY,4,19,,5,5,12,,,,,1,,,1,10,37,47,
,TECR,10,25,,,3,3,,,,,,,,1,13,29,42,
,Subtotal,696,2541,42,117,100,233,6,27,3,16,19,51,20,29,886,3014,3900,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,,
