Top 10,,,,,,,
Spring 2001 Feeder Patterns Undergraduate Transfer,,,,,,,
Texas County   Students  % Total,,,,,,,
Harris,,,146,,17.7%,,
Brazos,,,134,,16.2%,,
Tarrant,,,35,,4.2%,,
Dallas,,,33,,4.0%,,
Montgomery,,,27,,3.3%,,
Bexar,,,23,,2.8%,,
Brazoria,,,18,,2.2%,,
Collin,,,16,,1.9%,,
Fort Bend,,,15,,1.8%,,
Williamson,,,14,,1.7%,,
State,Students  % Total,,,,,,
Texas,786,,,95.0%,,,
California,2,,,0.2%,,,
Florida,2,,,0.2%,,,
Nebraska,2,,,0.2%,,,
Oklahoma,2,,,0.2%,,,
Washington,2,,,0.2%,,,
Alabama,1,,,0.1%,,,
Arizona,1,,,0.1%,,,
Arkansas,1,,,0.1%,,,
Georgia,1,,,0.1%,,,
Country,,Students  % Total,,,,,
United States,,810,,,97.9%,,
Guatemala,,3,,,0.4%,,
Indonesia,,3,,,0.4%,,
Nicaragua,,3,,,0.4%,,
Argentina,,1,,,0.1%,,
Bangladesh,,1,,,0.1%,,
Brazil,,1,,,0.1%,,
Ecuador,,1,,,0.1%,,
Italy,,1,,,0.1%,,
Pakistan,,1,,,0.1%,,
