Demographic Summary by Entry Status,,,,,,,,,,
Spring 2001,,,,,,,,,,
"Spring 2001
Head Count      Total
Gender              Male Female
Ethnic               White
Origin                Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine Distance Education General Studies Exchange
Student             Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident  Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,Professional,
,"1st Time in College
89
44
45
63
1
4
2
17
2
85
4
7
3
5
4
18
16
7
7
22
89
63
23
3
65
6
18
2
2
2
77
6
2
2
2
83","1st Time PB
29
20
9
24
1
3
1
9
8
8
4
4
2
4
10
1
2
6
29
27
2
28
1
5
8
5
7
4
5
8
5
11","1st Time Transfer
827
446
381
679
8
68
30
4
16
22
534
234
40
16
3
234
30
1
124
132
9
188
31
16
62
555
272
774
44
9
786
25
16
19
41
54
626
85
2
19
41
54
713","Re Admitted
253
143
110
203
10
26
8
2
4
54
144
37
16
2
65
10
28
22
50
6
45
4
5
18
69
184
240
9
4
244
7
2
17
30
27
140
37
2
17
30
27
179","Contin uing
32561
16638
15923
26578
786
2920
1120
153
440
564
1
18133
13263
782
267
115
4618
1327
4918
2658
6794
381
5539
1599
1897
2809
21
12832
19729
30835
913
813
30840
1275
446
502
834
1601
19098
9784
742
502
834
1601
29624",1st Time Graduate,Re Admitted,Contin uing,Continuing,
,,,,,,314,7,6513,501,
,,,,,,217,5,4015,163,
,,,,,,97,2,2498,338,
,,,,,,135,5,3287,449,
,,,,,,2,,179,,
,,,,,,11,2,318,24,
,,,,,,3,,120,18,
,,,,,,1,,15,4,
,,,,,,161,,2529,,
,,,,,,1,,65,6,
,,,,,,2,,8,3,
,,,,,,158,,1725,238,
,,,,,,85,2,2164,191,
,,,,,,54,2,1715,57,
,,,,,,15,3,901,12,
,,,,,,79,2,1003,,
,,,,,,12,,324,,
,,,,,,27,,693,,
,,,,,,35,4,1049,,
,,,,,,115,,1735,,
,,,,,,9,,283,,
,,,,,,,,52,,
,,,,,,12,1,663,,
,,,,,,18,,570,,
,,,,,,6,,135,501,
,,,,,,1,,2,,
,,,,,,,,4,,
,,,,,,238,3,3704,,
,,,,,,76,4,2809,,
,,,,,,,,,501,
,,,,,,125,6,2813,477,
,,,,,,69,,856,7,
,,,,,,120,1,2844,17,
,,,,,,125,6,2817,477,
,,,,,,28,1,1160,24,
,,,,,,161,,2536,,
,,,,,,26,6,1359,,
,,,,,,25,,414,,
,,,,,,223,1,3763,,
,,,,,,35,,717,,
,,,,,,5,,245,35,
,,,,,,,,15,466,
,,,,,,21,5,1172,,
,,,,,,30,1,600,,
,,,,,,263,1,4741,501,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,
