Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,164,-8.4%,128,18.5%,74,-7.5%,,,366,-0.3%,
Gender,Male,98,4.3%,80,14.3%,61,-3.2%,,,239,5.3%,
,Female,66,-22.4%,48,26.3%,13,-23.5%,,,127,-9.3%,
Ethnic Origin,White,138,-9.8%,92,16.5%,24,-22.6%,,,254,-3.4%,
,Black,3,100.0%,,,,,,,3,100.0%,
,Hispanic,13,-23.5%,1,-66.7%,0,-100.0%,,,14,-33.3%,
,Asian,4,100.0%,2,-33.3%,1,100.0%,,,7,40.0%,
,American Indian,2,100.0%,1,100.0%,,,,,3,100.0%,
,International,2,-60.0%,28,55.6%,49,2.1%,,,79,11.3%,
,Unknown/Other,2,0.0%,4,-20.0%,,,,,6,-14.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,49,-23.4%,,,,,,,49,-23.4%,
,,,,,,,,,,,,
,22-25,89,-4.3%,51,21.4%,0,-100.0%,,,140,2.2%,
,26-30,18,20.0%,54,14.9%,24,-17.2%,,,96,5.5%,
,31-39,7,40.0%,18,12.5%,40,2.6%,,,65,8.3%,
,40+,1,-50.0%,5,66.7%,10,0.0%,,,16,6.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,1,100.0%,,,,,,,1,100.0%,
,,,,,,,,,,,,
,1st Time Graduate,,,3,0.0%,0,-100.0%,,,3,-40.0%,
,1st Time Transfer,2,-60.0%,,,,,,,2,-60.0%,
,Re Admitted,0,-100.0%,,,,,,,0,-100.0%,
,Continuing,161,-6.4%,125,19.0%,74,-5.1%,,,360,1.4%,
Tuition Status,Resident Tuition,148,-6.9%,39,-11.4%,8,-20.0%,,,195,-8.5%,
,Non-Resident Tuition,9,-10.0%,20,81.8%,21,16.7%,,,50,28.2%,
,Tuition Exemption/Waiver,7,-30.0%,69,30.2%,45,-13.5%,,,121,5.2%,
Residency,Texas Resident,149,-6.3%,39,-11.4%,8,-27.3%,,,196,-8.4%,
Status,"Non-TX, US Resident",13,-13.3%,61,32.6%,17,-19.0%,,,91,11.0%,
,"Non-TX, Non-US Resident",2,-60.0%,28,55.6%,49,2.1%,,,79,11.3%,
SCH,< 6 SCH,44,-4.3%,36,9.1%,21,0.0%,,,101,1.0%,
Categories,6-8 SCH,75,-9.6%,89,20.3%,50,-12.3%,,,214,0.0%,
,,,,,,,,,,,,
,9-11 SCH,22,-35.3%,3,100.0%,2,0.0%,,,27,-25.0%,
,12-14 SCH,18,20.0%,0,-100.0%,1,100.0%,,,19,18.8%,
,15-17 SCH,5,400.0%,,,,,,,5,400.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU,Less Than Half Time,14,100.0%,23,100.0%,17,100.0%,,,54,100.0%,
Status,Half-Time,32,100.0%,1,100.0%,3,100.0%,,,36,100.0%,
,,,,,,,,,,,,
,Full-Time,118,100.0%,104,100.0%,54,100.0%,,,276,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
