Residency Status by Tuition Status by College,,,,,,,,,,,,,
Summer 2001,,,,,,,,,,,,,
"Summer 2001
AG & Life         Texas Resident Science               Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Architecture       Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Business             Texas Resident
Admin                Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Education           Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Engineering       Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Geosciences       Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident Subtotal
G. Bush              Texas Resident School of           Non-TX, US Resident
Govt                   Non-TX, Non-US Resident
Subtotal
Liberal Arts       Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Science              Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Veterinary          Texas Resident Medicine            Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Distance             Texas Resident Education           Non-TX, US Resident
Subtotal
General              Texas Resident
Studies               Non-TX, US Resident Non-TX, Non-US Resident Subtotal
Other                  Texas Resident
Non-TX, Non-US Resident
Subtotal
Total                  Texas Resident
Non-TX, US Resident Non-TX, Non-US Resident
Total",Resident Tuition,,,Non-Resident Tuition,,,Tuition Exemption/Waiver,,,Total,,,
,#,,% chg,#,,% chg,#,,% chg,#,,% chg,
,,2644,5.1%,,3,0.0%,,1,0.0%,,2648,5.1%,
,,,,,89,9.9%,,213,-6.2%,,302,-1.9%,
,,,,,75,-13.8%,,201,19.6%,,276,8.2%,
,,2644,5.1%,,167,-2.3%,,415,4.8%,,3226,4.7%,
,,571,-3.9%,,1,100.0%,,,,,572,-3.7%,
,,,,,18,-25.0%,,16,-40.7%,,34,-33.3%,
,,,,,38,-13.6%,,57,58.3%,,95,18.8%,
,,571,-3.9%,,57,-16.2%,,73,15.9%,,701,-3.3%,
,,2263,-12.3%,,3,50.0%,,1,100.0%,,2267,-12.2%,
,,,,,45,-11.8%,,74,4.2%,,119,-2.5%,
,,,,,59,-1.7%,,79,9.7%,,138,4.5%,
,,2263,-12.3%,,107,-5.3%,,154,7.7%,,2524,-11.0%,
,,2075,9.8%,,1,0.0%,,0,-100.0%,,2076,9.7%,
,,,,,57,-5.0%,,66,4.8%,,123,0.0%,
,,,,,19,58.3%,,39,69.6%,,58,65.7%,
,,2075,9.8%,,77,5.5%,,105,19.3%,,2257,10.1%,
,,2689,0.4%,,5,150.0%,,1,0.0%,,2695,0.5%,
,,,,,65,-29.3%,,150,-17.1%,,215,-21.2%,
,,,,,383,-2.8%,,825,17.2%,,1208,10.0%,
,,2689,0.4%,,453,-7.2%,,976,10.2%,,4118,1.6%,
,,195,-8.5%,,1,0.0%,,,,,196,-8.4%,
,,,,,19,11.8%,,72,10.8%,,91,11.0%,
,,,,,30,42.9%,,49,-2.0%,,79,11.3%,
,,195,-8.5%,,50,28.2%,,121,5.2%,,366,-0.3%,
,,30,50.0%,,,,,,,,30,50.0%,
,,,,,1,100.0%,,12,9.1%,,13,18.2%,
,,,,,,,,1,0.0%,,1,0.0%,
,,30,50.0%,,1,100.0%,,13,8.3%,,44,37.5%,
,,2568,9.0%,,2,0.0%,,1,100.0%,,2571,9.0%,
,,,,,75,41.5%,,135,-5.6%,,210,7.1%,
,,,,,19,-40.6%,,42,0.0%,,61,-17.6%,
,,2568,9.0%,,96,10.3%,,178,-3.8%,,2842,8.1%,
,,608,3.2%,,1,100.0%,,3,200.0%,,612,3.7%,
,,,,,51,-13.6%,,126,-17.1%,,177,-16.1%,
,,,,,30,36.4%,,229,2.7%,,259,5.7%,
,,608,3.2%,,82,1.2%,,358,-4.8%,,1048,0.2%,
,,874,7.0%,,,,,,,,874,7.0%,
,,,,,15,36.4%,,37,-24.5%,,52,-13.3%,
,,,,,7,-22.2%,,28,7.7%,,35,0.0%,
,,874,7.0%,,22,10.0%,,65,-13.3%,,961,5.4%,
,,0,-100.0%,,,,,,,,0,-100.0%,
,,,,,,,,0,-100.0%,,0,-100.0%,
,,0,-100.0%,,,,,0,-100.0%,,0,-100.0%,
,,481,3.4%,,3,100.0%,,1,100.0%,,485,4.3%,
,,,,,18,0.0%,,6,50.0%,,24,9.1%,
,,,,,1,-80.0%,,,,,1,-80.0%,
,,481,3.4%,,22,-4.3%,,7,75.0%,,510,3.7%,
,,17,100.0%,,,,,,,,17,100.0%,
,,,,,21,425.0%,,2,100.0%,,23,475.0%,
,,17,100.0%,,21,425.0%,,2,100.0%,,40,900.0%,
,,15015,2.0%,,20,81.8%,,8,60.0%,,15043,2.1%,
,,,,,453,-2.8%,,907,-8.8%,,1360,-6.8%,
,,,,,682,-1.2%,,1552,15.4%,,2234,9.8%,
,,15015,2.0%,,1155,-1.0%,,2467,5.2%,,18637,2.2%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,
