"Summer 2001
AG & Life               AGEC
Science                    AGED AGEN ANSC BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EDAD EDCI EHRD EPSY HLKN TLAC
Subtotal
Engineering             AERO CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
Geosciences             ATMO GEOG GEOL GEPL OCNG
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,,Black,,,Hispanic,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Total,,,
,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,#,,% chg,
,,397,7.3%,,1,-90.9%,,17,-39.3%,,5,25.0%,,2,100.0%,,50,19.0%,,10,66.7%,,482,4.3%,
,,476,12.3%,,19,-34.5%,,23,-8.0%,,5,150.0%,,1,-50.0%,,2,100.0%,,5,0.0%,,531,9.0%,
,,124,6.9%,,3,200.0%,,17,54.5%,,3,50.0%,,1,100.0%,,13,-7.1%,,1,0.0%,,162,11.7%,
,,438,-11.2%,,5,0.0%,,35,-14.6%,,13,18.2%,,1,-50.0%,,34,13.3%,,3,-50.0%,,529,-10.0%,
,,172,1.2%,,7,40.0%,,20,0.0%,,14,7.7%,,1,0.0%,,41,32.3%,,6,-45.5%,,261,4.0%,
,,153,57.7%,,29,45.0%,,19,-9.5%,,1,-66.7%,,1,100.0%,,3,200.0%,,2,100.0%,,208,46.5%,
,,37,-9.8%,,,,,4,-33.3%,,4,0.0%,,,,,9,-10.0%,,,,,54,-11.5%,
,,24,71.4%,,,,,,,,,,,,,,8,-27.3%,,1,100.0%,,33,32.0%,
,,80,0.0%,,,,,3,0.0%,,1,0.0%,,,,,18,28.6%,,2,-60.0%,,104,1.0%,
,,69,-8.0%,,9,200.0%,,15,36.4%,,0,-100.0%,,1,100.0%,,20,0.0%,,2,0.0%,,116,1.8%,
,,57,5.6%,,0,-100.0%,,14,40.0%,,0,-100.0%,,1,100.0%,,9,-18.2%,,1,0.0%,,82,1.2%,
,,71,22.4%,,,,,4,33.3%,,3,200.0%,,2,100.0%,,6,20.0%,,0,-100.0%,,86,26.5%,
,,157,18.0%,,3,0.0%,,7,16.7%,,0,-100.0%,,1,0.0%,,7,-12.5%,,3,50.0%,,178,13.4%,
,,90,-5.3%,,,,,4,0.0%,,,,,,,,38,8.6%,,3,-25.0%,,135,-2.2%,
,,217,0.5%,,2,100.0%,,20,66.7%,,6,100.0%,,1,0.0%,,15,-28.6%,,4,-33.3%,,265,1.9%,
,,2562,5.2%,,78,-2.5%,,202,0.5%,,55,1.9%,,13,62.5%,,273,7.9%,,43,-14.0%,,3226,4.7%,
,,291,0.0%,,5,-37.5%,,32,-13.5%,,16,14.3%,,3,50.0%,,62,44.2%,,7,40.0%,,416,4.0%,
,,163,-14.2%,,1,-50.0%,,19,0.0%,,2,100.0%,,1,100.0%,,13,8.3%,,4,-33.3%,,203,-11.7%,
,,55,-15.4%,,2,100.0%,,4,0.0%,,,,,,,,20,-16.7%,,1,0.0%,,82,-13.7%,
,,509,-6.8%,,8,-27.3%,,55,-8.3%,,18,20.0%,,4,100.0%,,95,20.3%,,12,0.0%,,701,-3.3%,
,,411,-10.8%,,8,-20.0%,,20,-52.4%,,10,66.7%,,3,0.0%,,15,-25.0%,,8,14.3%,,475,-13.5%,
,,334,-24.3%,,8,-11.1%,,27,-20.6%,,13,-18.8%,,1,-50.0%,,42,31.3%,,4,-33.3%,,429,-20.6%,
,,382,-3.3%,,5,-28.6%,,26,-21.2%,,8,0.0%,,0,-100.0%,,25,66.7%,,2,-75.0%,,448,-4.1%,
,,304,-9.3%,,10,-23.1%,,22,-33.3%,,18,-37.9%,,0,-100.0%,,28,-12.5%,,7,-12.5%,,389,-14.1%,
,,195,-22.3%,,2,-60.0%,,21,-41.7%,,5,-37.5%,,2,100.0%,,16,-15.8%,,5,-16.7%,,246,-24.5%,
,,474,10.2%,,6,-50.0%,,31,-6.1%,,5,25.0%,,1,-50.0%,,12,-7.7%,,8,33.3%,,537,7.4%,
,,2100,-9.2%,,39,-30.4%,,147,-30.3%,,59,-16.9%,,7,-41.7%,,138,5.3%,,34,-17.1%,,2524,-11.0%,
,,1,-75.0%,,1,100.0%,,0,-100.0%,,,,,,,,,,,,,,2,-60.0%,
,,234,100.0%,,28,100.0%,,33,100.0%,,2,100.0%,,2,100.0%,,17,100.0%,,6,100.0%,,322,100.0%,
,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,
,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,
,,0,-100.0%,,0,-100.0%,,0,-100.0%,,,,,0,-100.0%,,0,-100.0%,,0,-100.0%,,0,-100.0%,
,,160,34.5%,,9,-10.0%,,37,15.6%,,2,-33.3%,,2,0.0%,,19,216.7%,,6,200.0%,,235,35.1%,
,,585,8.5%,,28,21.7%,,60,-17.8%,,6,-25.0%,,1,-80.0%,,9,200.0%,,11,22.2%,,700,6.1%,
,,823,100.0%,,51,100.0%,,88,100.0%,,5,100.0%,,7,100.0%,,13,100.0%,,11,100.0%,,998,100.0%,
,,1803,10.3%,,117,6.4%,,218,3.8%,,15,-21.1%,,12,-7.7%,,58,70.6%,,34,13.3%,,2257,10.1%,
,,131,11.0%,,0,-100.0%,,19,0.0%,,4,0.0%,,0,-100.0%,,59,28.3%,,2,-33.3%,,215,10.8%,
,,166,-17.0%,,5,-44.4%,,19,-36.7%,,34,9.7%,,1,0.0%,,85,11.8%,,9,-10.0%,,319,-10.6%,
,,30,-3.2%,,7,40.0%,,16,100.0%,,4,100.0%,,,,,8,33.3%,,1,100.0%,,66,26.9%,
,,314,-12.3%,,14,75.0%,,32,0.0%,,63,-7.4%,,1,100.0%,,184,15.7%,,6,-25.0%,,614,-3.0%,
,,323,6.6%,,14,55.6%,,41,-24.1%,,12,50.0%,,1,-66.7%,,122,-3.2%,,8,700.0%,,521,3.4%,
,,249,6.9%,,13,-23.5%,,38,-13.6%,,56,-6.7%,,5,400.0%,,273,-10.8%,,2,-33.3%,,636,-4.2%,
,,400,14.3%,,24,-22.6%,,62,12.7%,,24,-7.7%,,4,100.0%,,14,7.7%,,4,-55.6%,,532,9.5%,
,,156,-2.5%,,4,-69.2%,,22,-18.5%,,25,31.6%,,,,,163,37.0%,,4,300.0%,,374,10.3%,
,,375,-4.1%,,7,0.0%,,32,-34.7%,,25,13.6%,,0,-100.0%,,178,31.9%,,6,0.0%,,623,2.0%,
,,42,-8.7%,,3,200.0%,,11,0.0%,,3,0.0%,,,,,26,18.2%,,2,100.0%,,87,3.6%,
,,30,-25.0%,,,,,6,0.0%,,2,100.0%,,,,,93,13.4%,,,,,131,1.6%,
,,2216,-0.6%,,91,-10.8%,,298,-11.0%,,252,3.3%,,12,20.0%,,1205,10.6%,,44,4.8%,,4118,1.6%,
,,66,0.0%,,,,,1,-66.7%,,1,0.0%,,,,,15,0.0%,,3,50.0%,,86,-1.1%,
,,81,-10.0%,,3,100.0%,,6,-50.0%,,2,0.0%,,1,100.0%,,2,100.0%,,,,,95,-9.5%,
,,0,-100.0%,,,,,0,-100.0%,,,,,,,,,,,,,,0,-100.0%,
,,71,-1.4%,,,,,6,100.0%,,3,200.0%,,2,100.0%,,37,12.1%,,2,0.0%,,121,9.0%,
,,36,9.1%,,,,,1,-50.0%,,1,0.0%,,,,,25,13.6%,,1,-66.7%,,64,4.9%,
,,254,-3.4%,,3,100.0%,,14,-33.3%,,7,40.0%,,3,100.0%,,79,11.3%,,6,-14.3%,,366,-0.3%,
,,38,46.2%,,1,0.0%,,4,33.3%,,0,-100.0%,,,,,1,0.0%,,,,,44,37.5%,
,,38,46.2%,,1,0.0%,,4,33.3%,,0,-100.0%,,,,,1,0.0%,,,,,44,37.5%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,,,,,,,
