"Summer 2001
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other                        SABX
SRPH
Subtotal
GRAND Total",White,,,,Black,,,,Hispanic,,,,Asian,,,,American Indian,,,,International,,,,Unknown/Other,,,,Total,,,,"Total
88
100
282
289
226
370
43
35
387
7
590
285
140
2842
429
267
156
138
58
1048
845
30
5
3
45
33
961
510
510
21
19
40
18637",
,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,,
,,25,,44,,,,,,5,,5,,,,2,,,,,,2,,3,,1,,1,,33,,55,,
,,23,,49,,1,,2,,9,,12,,2,,1,,,,,,,,,,,,1,,35,,65,,
,,168,,52,,2,,2,,12,,8,,9,,3,,1,,,,14,,3,,6,,2,,212,,70,,
,,63,,175,,1,,2,,12,,19,,1,,2,,,,1,,5,,6,,1,,1,,83,,206,,
,,116,,68,,2,,2,,16,,10,,1,,1,,2,,2,,,,,,2,,4,,139,,87,,
,,80,,215,,2,,11,,15,,24,,4,,6,,,,4,,2,,4,,1,,2,,104,,266,,
,,5,,21,,,,1,,3,,8,,2,,,,,,,,1,,,,,,2,,11,,32,,
,,18,,11,,,,,,,,,,4,,1,,,,,,,,,,1,,,,23,,12,,
,,194,,128,,3,,5,,16,,16,,3,,4,,1,,2,,8,,1,,5,,1,,230,,157,,
,,3,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,5,,2,,
,,109,,352,,5,,13,,16,,57,,4,,19,,1,,2,,2,,2,,3,,5,,140,,450,,
,,55,,179,,6,,4,,10,,17,,1,,3,,,,2,,1,,,,3,,4,,76,,209,,
,,30,,72,,,,5,,7,,10,,6,,1,,,,1,,3,,4,,,,1,,46,,94,,
,,889,,1366,,23,,47,,122,,188,,37,,43,,5,,14,,38,,23,,23,,24,,1137,,1705,,
,,120,,178,,4,,14,,22,,22,,19,,15,,1,,,,11,,14,,2,,7,,179,,250,,
,,86,,56,,3,,6,,9,,5,,5,,5,,1,,,,52,,34,,3,,2,,159,,108,,
,,39,,56,,,,1,,5,,3,,2,,1,,1,,,,33,,14,,,,1,,80,,76,,
,,55,,9,,3,,1,,3,,,,2,,1,,,,,,54,,9,,,,1,,117,,21,,
,,12,,3,,,,1,,2,,,,,,1,,,,,,17,,22,,,,,,31,,27,,
,,312,,302,,10,,23,,41,,30,,28,,23,,3,,,,167,,93,,5,,11,,566,,482,,
,,235,,459,,6,,11,,26,,43,,10,,30,,2,,5,,,,2,,4,,12,,283,,562,,
,,9,,12,,,,,,1,,,,1,,,,,,,,4,,3,,,,,,15,,15,,
,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,
,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,14,,12,,1,,,,3,,1,,,,1,,,,,,4,,8,,1,,,,23,,22,,
,,12,,5,,,,1,,,,,,,,1,,,,,,7,,7,,,,,,19,,14,,
,,274,,492,,7,,12,,30,,44,,11,,32,,2,,5,,15,,20,,5,,12,,344,,617,,
,,198,,162,,23,,21,,43,,28,,7,,11,,1,,2,,1,,,,8,,5,,281,,229,,
,,198,,162,,23,,21,,43,,28,,7,,11,,1,,2,,1,,,,8,,5,,281,,229,,
,,,,,,,,,,,,,,,,,,,,,,8,,13,,,,,,8,,13,,
,,1,,5,,1,,1,,3,,4,,,,,,,,,,,,2,,,,2,,5,,14,,
,,1,,5,,1,,1,,3,,4,,,,,,,,,,8,,15,,,,2,,13,,27,,
,,6689,,6794,,206,,299,,740,,731,,332,,266,,47,,36,,1621,,608,,138,,130,,9773,,8864,,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
