Demographic Summary,,,,,,,,,,,,
Summer 2001,,,,,,,,,,,,
University Total,,,,,,,,,,,,
Summer 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,13591,2.0%,2793,5.0%,2119,0.0%,134,3.1%,18637,2.2%,
Gender,Male,6768,0.1%,1608,4.5%,1355,0.2%,42,0.0%,9773,0.8%,
,Female,6823,4.1%,1185,5.6%,764,-0.3%,92,4.5%,8864,3.9%,
Ethnic Origin,White,10959,3.5%,1493,0.6%,910,-10.8%,121,1.7%,13483,2.1%,
,Black,379,-10.4%,52,6.1%,74,0.0%,,,505,-7.5%,
,Hispanic,1218,-7.5%,134,-1.5%,114,11.8%,5,-16.7%,1471,-5.8%,
,Asian,499,7.1%,58,-4.9%,36,9.1%,5,25.0%,598,6.0%,
,American Indian,66,10.0%,7,0.0%,8,14.3%,2,100.0%,83,10.7%,
,International,256,-3.0%,1021,14.2%,952,10.6%,,,2229,10.4%,
,Unknown/Other,214,5.9%,28,-6.7%,25,19.0%,1,100.0%,268,5.9%,
TAMU Age,<18,7,0.0%,,,,,,,7,0.0%,
Categories,18-21,6706,4.3%,8,-11.1%,,,,,6714,4.3%,
,,,,,,,,,,,,
,22-25,6221,0.6%,1380,7.6%,138,12.2%,65,25.0%,7804,2.1%,
,26-30,436,-4.4%,824,1.9%,786,-4.5%,52,-11.9%,2098,-2.3%,
,31-39,161,-11.5%,366,7.0%,785,3.4%,16,0.0%,1328,2.2%,
,40+,60,0.0%,215,-1.8%,410,-0.7%,1,-66.7%,686,-1.3%,
Enrollment,1st Time in College,280,-1.4%,,,,,,,280,-1.4%,
Status,1st Time PB,16,128.6%,,,,,,,16,128.6%,
,,,,,,,,,,,,
,1st Time Graduate,,,303,16.1%,26,-46.9%,,,329,6.1%,
,1st Time Transfer,342,17.1%,0,-100.0%,,,,,342,16.7%,
,Re Admitted,150,-4.5%,6,100.0%,3,100.0%,,,159,1.3%,
,Continuing,12803,1.8%,2484,3.5%,2090,1.0%,134,3.1%,17511,1.9%,
Tuition Status,Resident Tuition,12814,2.5%,1321,1.3%,754,-4.3%,126,1.6%,15015,2.0%,
,Non-Resident Tuition,468,-6.6%,417,4.3%,266,0.0%,4,100.0%,1155,-1.0%,
,Tuition Exemption/Waiver,309,-2.5%,1055,10.2%,1099,3.3%,4,-33.3%,2467,5.2%,
Residency,Texas Resident,12834,2.6%,1323,1.4%,760,-4.5%,126,1.6%,15043,2.1%,
Status,"Non-TX, US Resident",499,-6.7%,448,-2.8%,405,-11.6%,8,33.3%,1360,-6.8%,
,"Non-TX, Non-US Resident",258,-6.5%,1022,14.2%,954,10.4%,,,2234,9.8%,
SCH,< 6 SCH,3836,-0.7%,914,10.3%,628,-5.8%,5,66.7%,5383,0.4%,
Categories,6-8 SCH,5423,2.9%,1531,2.8%,1332,2.7%,129,1.6%,8415,2.8%,
,,,,,,,,,,,,
,9-11 SCH,2453,7.4%,246,10.3%,117,0.9%,,,2816,7.3%,
,12-14 SCH,1704,-1.2%,97,-7.6%,29,-14.7%,,,1830,-1.8%,
,15-17 SCH,144,5.9%,4,-63.6%,11,266.7%,,,159,6.0%,
,>17 SCH,31,-27.9%,1,-66.7%,2,100.0%,,,34,-27.7%,
Ft/Pt:  TAMU,Less Than Half Time,661,100.0%,322,100.0%,379,100.0%,,,1362,100.0%,
Status,Half-Time,3863,100.0%,173,100.0%,89,100.0%,9,100.0%,4134,100.0%,
,,,,,,,,,,,,
,Full-Time,9067,100.0%,2298,100.0%,1651,100.0%,125,100.0%,13141,100.0%,
"Prepared by OISP, 09 Aug 01",,,,,,,,,,,,
