Headcount by Department by Level by Entry Status,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,
"Fall 2002
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,,PhD,,,Professional,,Total,
,"1st Time in College
84
86
139
48
81
4
1
5
5
16
11
2
8
4
39
533
102
39
11
152
921
921
3
126
234
363
159
101
100
136
208
168
212
36
23
237
39
65
1484
61
4
17
82","1st Time PB
1
1
1
1
4
1
3
4
1
1
2
1
2
1
8
1
1
2","1st Time Transfer
69
86
62
15
13
12
3
6
9
7
12
16
26
15
26
377
24
24
13
61
5
32
1
2
2
3
45
6
106
209
321
19
7
31
27
48
89
42
20
50
2
7
342
4
8
6
18","Readmit ted
6
25
8
6
5
20
2
2
8
4
4
6
4
8
108
4
2
1
7
1
11
2
5
2
7
28
24
13
37
1
3
8
16
13
19
1
7
4
1
73
2
4
1
7","Contin uing
536
916
797
268
279
221
31
41
129
141
124
108
285
109
338
4323
486
527
112
1125
581
1036
528
396
381
727
3649
10
1149
1527
2686
318
181
375
116
757
745
841
1059
250
752
135
162
5691
101
134
106
341",1st Time PB,1st Time Graduate,1st Time Transfer,Readmit ted,Contin uing,1st Time Graduate,Readmit ted,Contin uing,1st Time Professional,Contin uing,,
,,,,,,2,26,1,1,53,8,1,36,,,821,
,,,,,,4,25,,,37,3,,45,,,1228,
,,,,,,5,28,,1,74,4,,48,,,1167,
,,,,,,,13,,,22,2,1,12,,,388,
,,,,,,1,30,,,23,3,,73,,,509,
,,,,,,,,,,,,,,,,257,
,,,,,,,8,,,20,3,,28,,,96,
,,,,,,,6,,1,5,1,,9,,,74,
,,,,,,,7,,,18,6,,19,,,196,
,,,,,,,5,,,5,1,,22,,,205,
,,,,,,,4,,,12,4,,18,,,189,
,,,,,,1,10,,,21,4,,27,,,193,
,,,,,,1,5,,,19,6,,23,,,379,
,,,,,,,22,,,49,5,,52,,,260,
,,,,,,1,32,,,74,8,1,54,,,582,
,,,,,,15,221,1,3,432,58,3,466,,,6544,
,,,,,,4,79,,,133,10,,42,,,884,
,,,,,,,23,,,48,,,,,,663,
,,,,,,1,41,,,29,3,,35,,,246,
,,,,,,5,143,,,210,13,,77,,,1793,
,,,,,,,101,,,26,2,,14,,,730,
,,,,,,7,142,,,152,,,,,,2301,
,,,,,,,119,,,64,2,,6,,,722,
,,,,,,,49,,,54,2,,10,,,518,
,,,,,,,24,,,18,3,,20,,,450,
,,,,,,,35,,,25,3,,8,,,808,
,,,,,,7,470,,,339,12,,58,,,5529,
,,,,,,28,29,,2,111,45,4,256,,,495,
,,,,,,26,59,,1,103,21,,159,,,369,
,,,,,,6,36,,1,39,7,,37,,,1531,
,,,,,,21,38,,,59,9,1,87,,,2201,
,,,,,,81,162,,4,312,82,5,539,,,4596,
,,,,,,,15,,,35,9,,36,,,592,
,,,,,,,17,,,34,,,22,,,362,
,,,,,,1,23,,,25,8,,64,,,631,
,,,,,,,4,,,2,1,1,22,,,282,
,,,,,,9,64,,,124,14,,94,,,1305,
,,,,,,6,67,,1,106,17,,91,,,1266,
,,,,,,,66,,2,86,25,2,149,,,1487,
,,,,,,,13,,,,,,,,,1169,
,,,,,,1,66,,,131,6,,44,,,543,
,,,,,,2,84,,,173,23,,80,,,1410,
,,,,,,,13,,1,29,1,,27,,,251,
,,,,,,2,41,,,80,3,,31,,,393,
,,,,,,21,473,,4,825,107,3,660,,,9691,
,,,,,,30,52,,,35,,,,,,117,
,,,,,,30,52,,,35,,,,,,117,
,,,,,,9,15,,,21,1,,15,,,230,
,,,,,,,2,,,,,,,,,2,
,,,,,,1,7,,,11,3,1,21,,,194,
,,,,,,2,18,,1,47,5,,36,,,240,
,,,,,,,11,,,34,1,,32,,,78,
,,,,,,12,53,,1,113,10,1,104,,,744,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,
