Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity  Unknown/Other,,,,,,,,,,,,,,,
"Fall 2002
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
2
1
3
1
2
12
1
1
2
1
1
1
5
3
1
4","Sophomore
2
1
3
2
3
2
2
2
17
1
1
1
1
3
4
1
2
2
3
17
3
3","Junior
3
1
2
3
6
3
2
1
4
1
1
27
2
3
5
2
3
2
4
1
8
3
1
34
3
1
2
6","Senior
4
4
6
5
7
8
5
3
3
3
48
3
3
1
3
1
6
1
1
2
3
5
4
2
29
4
5
9",PB,"Total
9
2
10
2
13
14
11
12
6
12
7
6
104
1
4
5
1
3
9
9
12
6
2
4
9
1
16
10
3
85
13
1
8
22",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,11,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,15,
,,,,,,,,1,1,,,,,15,
,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,12,
,,,,,,,,3,3,,,,,9,
,,,,,,,,,,,,,,13,
,,,,,,,,,,1,1,,,8,
,,,,,,,,,,,,,,6,
,,,,,,,,8,8,2,2,,,114,
,,,,,,,,2,4,,,,,4,
,,,,,,,2,2,4,,,,,4,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,6,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,5,5,1,1,,,11,
,,,,,,,1,1,2,2,2,,,5,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,,,,,12,
,,,,,,,1,2,3,1,1,,,13,
,,,,,,,,2,2,3,3,,,17,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,3,3,1,1,,,8,
,,,,,,,,1,1,,,,,10,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,18,
,,,,,,,,1,1,,,,,11,
,,,,,,,,,,,,,,3,
,,,,,,,2,14,16,8,8,,,109,
,,,,,,,,1,1,,,,,14,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,2,2,,,,,10,
,,,,,,,,1,1,,,,,1,
,,,,,,,,5,5,1,1,,,28,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
