Headcount by Major by Level,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,841,30.2%,11,37.5%,44,-2.2%,,,852,30.3%,
,AGBL,184,-20.7%,,,,,,,184,-20.7%,
,AGBU,142,-28.6%,45,-10.0%,,,,,187,-24.9%,
,AGEC,369,-0.5%,37,-2.6%,,,,,450,-0.9%,
,AGED,,,55,12.2%,49,2.1%,,,104,7.2%,
,AGEN,106,-12.4%,8,100.0%,1,100.0%,,,115,-5.0%,
,AGJR,77,13.2%,,,,,,,77,13.2%,
,AGLS,253,-27.5%,,,,,,,253,-27.5%,
,AGRO,128,-7.9%,23,43.8%,17,13.3%,,,168,-1.2%,
,AGSC,195,30.9%,,,,,,,195,30.9%,
,AGSM,199,9.9%,2,0.0%,,,,,201,9.8%,
,ANBR,,,1,100.0%,1,0.0%,,,2,100.0%,
,ANSC,662,-1.3%,51,2.0%,16,-11.1%,,,729,-1.4%,
,BAEN,,,24,-4.0%,11,0.0%,,,35,-2.8%,
,BESC,172,1.2%,,,,,,,172,1.2%,
,BICH,176,-11.1%,43,22.9%,66,6.5%,,,285,-3.4%,
,BSEN,33,-2.9%,,,,,,,33,-2.9%,
,DASC,16,45.5%,,,,,,,16,45.5%,
,ENTO,37,12.1%,25,-13.8%,29,7.4%,,,91,2.2%,
,FISC,,,2,100.0%,,,,,2,100.0%,
,FLOR,5,0.0%,1,100.0%,,,,,6,20.0%,
,FORS,41,10.8%,10,233.3%,9,-10.0%,,,60,20.0%,
,FSTC,61,-26.5%,38,5.6%,23,15.0%,,,122,-12.2%,
,GENE,202,-9.0%,15,-6.3%,20,-20.0%,,,237,-9.9%,
,HORT,141,6.8%,19,-26.9%,15,36.4%,,,175,3.6%,
,MEPS,,,10,66.7%,12,71.4%,,,22,69.2%,
,NRDV,,,7,75.0%,,,,,7,75.0%,
,NUSC,268,7.6%,,,,,,,268,7.6%,
,NUTR,,,34,-30.6%,18,38.5%,,,52,-16.1%,
,PLBR,,,11,10.0%,18,12.5%,,,29,11.5%,
,PLPA,,,7,-36.4%,21,0.0%,,,28,-12.5%,
,PLSC,,,2,100.0%,,,,,2,100.0%,
,POSC,151,5.6%,4,-50.0%,15,25.0%,,,170,4.3%,
,PPHY,,,1,0.0%,1,-50.0%,,,2,-33.3%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,15,50.0%,9,-10.0%,,,24,20.0%,
,PSSC,4,-20.0%,,,,,,,4,-20.0%,
,RENR,40,25.0%,,,,,,,40,25.0%,
,RLEM,113,0.9%,32,10.3%,31,34.8%,,,176,7.3%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
