Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"7,598",-0.4%,"1,323",6.2%,770,5.8%,,,"9,691",0.9%,
Gender,Female,"1,514",-1.1%,222,-3.5%,116,18.4%,,,"1,852",-0.4%,
,Male,"6,084",-0.2%,"1,101",8.4%,654,3.8%,,,"7,839",1.2%,
Ethnicity,White,"5,746",0.2%,274,21.8%,97,-13.4%,,,"6,117",0.7%,
,Black,225,8.2%,10,11.1%,9,0.0%,,,244,8.0%,
,Hispanic,766,-3.6%,36,28.6%,7,16.7%,,,809,-2.4%,
,Asian,431,-9.5%,31,63.2%,11,0.0%,,,473,-6.5%,
,American Indian,29,-17.1%,,,1,100.0%,,,30,-14.3%,
,International,297,14.2%,964,0.2%,643,9.5%,,,"1,904",5.3%,
,Unknown/Other,104,-12.6%,8,166.7%,2,-33.3%,,,114,-8.8%,
TAMU Age,<18,20,11.1%,,,,,,,20,11.1%,
Categories,18-21,"4,934",-3.2%,36,-29.4%,2,100.0%,,,"4,972",-3.4%,
,22-25,"2,376",7.2%,799,10.4%,67,19.6%,,,"3,242",8.2%,
,26-30,195,-2.5%,330,-0.3%,341,10.4%,,,866,3.1%,
,31-39,54,-27.0%,120,2.6%,321,1.3%,,,495,-2.6%,
,40+,19,-17.4%,38,65.2%,39,-15.2%,,,96,4.3%,
Enrollment,1st Time in College,"1,484",1.8%,,,,,,,"1,484",1.8%,
Status,1st Time PB,8,-38.5%,21,100.0%,,,,,29,123.1%,
,1st Time Graduate,,,473,9.0%,107,32.1%,,,580,12.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,342,1.5%,,,,,,,342,1.5%,
,Readmitted,73,-15.1%,4,300.0%,3,0.0%,,,80,-11.1%,
,Continuing,"5,691",-0.7%,825,1.7%,660,2.5%,,,"7,176",-0.2%,
Tuition,Resident Tuition,"6,938",-0.5%,257,24.8%,77,-9.4%,,,"7,272",0.1%,
Status,Non-Resident Tuition,381,2.7%,378,-1.6%,150,0.7%,,,909,0.6%,
,Tuition Exemption/Waiver,279,-2.1%,688,4.9%,543,9.9%,,,"1,510",5.2%,
Residency,Texas Resident,"6,952",-0.6%,257,23.0%,79,-9.2%,,,"7,288",0.0%,
Status,"Non-TX, US Resident",352,-4.9%,98,30.7%,48,-5.9%,,,498,0.4%,
,"Non-TX, Non-US Resident",294,11.4%,968,0.6%,643,9.0%,,,"1,905",4.9%,
SCH,< 6 SCH,140,-11.9%,145,-4.6%,113,-7.4%,,,398,-8.1%,
Categories,6-8 SCH,149,10.4%,48,-5.9%,10,-41.2%,,,207,2.0%,
,9-11 SCH,332,11.4%,"1,031",8.4%,622,11.3%,,,"1,985",9.8%,
,12-14 SCH,"5,128",1.8%,91,8.3%,25,-3.8%,,,"5,244",1.9%,
,15-17 SCH,"1,775",-7.4%,8,14.3%,0,-100.0%,,,"1,783",-7.5%,
,>17 SCH,74,-9.8%,0,-100.0%,0,-100.0%,,,74,-11.9%,
Ft/Pt:,Less Than Half Time,47,14.6%,135,-6.3%,102,-9.7%,,,284,-4.7%,
TAMU,Half-Time,146,9.8%,57,-3.4%,20,-20.0%,,,223,2.8%,
Status,Three-Quarter Time,327,10.5%,,,,,,,327,10.5%,
,Full-Time,"7,078",-1.1%,"1,131",8.4%,648,9.8%,,,"8,857",0.8%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
