Headcount by Department by Level by Entry Status,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,
"Spring 2002
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
1
1
2
5
5
1
3
4
3
4
7
1
4
2
3
1
25","1st Time PB
2
2
2
1
7
2
4
6
1
1
1
1
4","1st Time Transfer
40
37
24
8
7
2
1
7
13
3
12
10
7
10
11
192
12
20
8
40
46
82
128
7
2
9
15
18
26
17
17
16
3
1
131","Re-Admi tted
5
19
3
3
2
20
1
1
1
1
6
8
3
6
79
4
1
1
6
1
4
1
2
3
11
12
11
23
1
1
4
8
3
13
2
3
2
1
38","Continuing
670
993
917
308
368
164
34
41
128
149
122
105
314
123
389
4825
623
529
128
1280
546
1770
547
510
352
774
4499
1
5
1264
1586
2856
428
217
466
181
961
804
1031
1185
260
907
134
203
6777",1st Time Graduate,Re-Admi tted,Continui ng,1st Time Graduate,Re-Admi tted,Continuin g,Continuing,,
,,,,,,14,1,57,1,1,51,,837,
,,,,,,8,,55,,,48,,1163,
,,,,,,9,,107,1,,53,,1117,
,,,,,,1,,26,1,,11,,358,
,,,,,,,,37,,,72,,486,
,,,,,,,,,,,,,188,
,,,,,,,,26,,,30,,91,
,,,,,,2,,4,,,10,,66,
,,,,,,,1,24,3,,19,,189,
,,,,,,1,,7,1,,24,,186,
,,,,,,2,,14,1,,17,,169,
,,,,,,3,,27,5,,25,,181,
,,,,,,3,,26,2,,25,,385,
,,,,,,8,,53,3,,53,,253,
,,,,,,11,1,93,2,,63,,577,
,,,,,,62,3,556,20,,501,,6246,
,,,,,,4,,191,1,,45,,882,
,,,,,,8,3,52,,,,,614,
,,,,,,4,1,52,1,,47,,242,
,,,,,,16,4,295,2,1,92,,1738,
,,,,,,5,,112,,,14,,678,
,,,,,,,,314,,,,,2093,
,,,,,,16,,136,1,,8,,709,
,,,,,,5,,86,1,,13,,615,
,,,,,,1,,22,,,24,,401,
,,,,,,1,,38,,,10,,826,
,,,,,,28,,708,2,,69,,5322,
,,,,,,,,,,,,,1,
,,,,,,4,2,178,11,4,282,,486,
,,,,,,10,,168,1,,167,,346,
,,,,,,8,1,52,2,,39,,1427,
,,,,,,6,1,107,1,,98,,1899,
,,,,,,28,4,505,15,4,586,,4159,
,,,,,,2,,53,1,,38,,534,
,,,,,,4,,34,,,22,,279,
,,,,,,7,,34,3,,68,,588,
,,,,,,3,,2,,,21,,211,
,,,,,,15,1,164,4,1,94,,1266,
,,,,,,23,1,116,5,,108,,1085,
,,,,,,17,1,114,6,,161,,1364,
,,,,,,,,,,,,,1215,
,,,,,,13,1,153,3,,46,,497,
,,,,,,12,1,206,8,,93,,1250,
,,,,,,4,,36,1,,27,,208,
,,,,,,10,,100,3,,28,,346,
,,,,,,110,5,1012,34,1,706,,8843,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,
