Headcount by Department by Level by Entry Status,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,
"Spring 2002
Geosciences              ATMO GEOG GEOL GEPL OCNG
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPH VTPP
Subtotal
General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
INEN PETE SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,"1st Time in College
2
3
2
7
5
1
1
7
6
6
16
16
73","1st Time PB
1
1
1
1
3
1
4
4
4
1
1
28","1st Time Transfer
6
1
2
2
11
2
12
29
10
17
22
4
3
28
5
37
18
9
196
22
1
5
3
31
15
15
22
22
766","Re-Admi tted
1
3
1
1
6
3
3
2
3
10
2
11
9
1
4
48
3
1
2
6
6
6
36
36
259","Continuing
124
134
17
103
378
123
262
585
541
475
763
86
75
840
65
1295
739
231
6080
1099
175
280
64
1618
1705
1705
3014
3014
27
27
33059",1st Time Graduate,Re-Admi tted,Continui ng,1st Time Graduate,Re-Admi tted,Continuin g,Continuing,,
,,,,,,1,1,27,2,1,12,490,174,
,,,,,,5,,16,2,,21,,183,
,,,,,,,,,,,,,20,
,,,,,,3,1,63,,,41,,215,
,,,,,,5,,42,2,,32,,81,
,,,,,,14,2,148,6,1,106,,673,
,,,,,,1,,73,,,,,74,
,,,,,,1,,73,,,,,74,
,,,,,,3,,76,,,37,,244,
,,,,,,,,,,,,,277,
,,,,,,2,,27,,,55,,700,
,,,,,,3,1,36,1,,72,,667,
,,,,,,,,18,,,44,,564,
,,,,,,2,,12,,,,,803,
,,,,,,3,,12,,,,,105,
,,,,,,4,,24,,,,,106,
,,,,,,,,15,,,32,,929,
,,,,,,,,,,,,,70,
,,,,,,,,41,,,52,,1437,
,,,,,,,,15,,,21,,794,
,,,,,,1,,24,,,38,,307,
,,,,,,18,1,300,1,,351,,7003,
,,,,,,,,33,1,,53,,1219,
,,,,,,7,,91,,,130,,406,
,,,,,,2,,57,1,,39,,388,
,,,,,,2,,35,,,63,,167,
,,,,,,4,,44,,,45,,93,
,,,,,,15,,260,2,,330,,2273,
,,,,,,,,,,,,,2226,
,,,,,,2,,9,1,,22,,34,
,,,,,,1,,4,,,,,5,
,,,,,,1,,2,,,,,3,
,,,,,,2,,31,1,,33,,67,
,,,,,,,,1,,,,,1,
,,,,,,1,,13,,,25,,39,
,,,,,,7,,60,2,,80,490,2375,
,,,,,,,,,,,,,3089,
,,,,,,,,,,,,,3089,
,,,,,,,,6,,,,,6,
,,,,,,1,,11,,,,,12,
,,,,,,,,1,,,,,1,
,,,,,,1,,,,,,,1,
,,,,,,,,4,,,,,31,
,,,,,,,,28,,,,,28,
,,,,,,2,,50,,,,,79,
,,,,,,301,19,3967,84,7,2821,490,41874,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,
