Headcount by Department by Ethnic Origin,,,,,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,,,,,
"Spring 2002
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,702,2.5%,7,-12.5%,31,-26.2%,4,-20.0%,,3,0.0%,75,-3.8%,,15,-6.3%,837,0.0%,
,1024,38.4%,51,142.9%,54,22.7%,7,40.0%,,5,400.0%,9,80.0%,,13,44.4%,1163,41.0%,
,958,-5.6%,12,-7.7%,74,0.0%,13,-27.8%,,6,20.0%,42,2.4%,,12,-20.0%,1117,-5.4%,
,307,5.5%,4,-20.0%,24,14.3%,3,-25.0%,,0,-100.0%,17,-19.0%,,3,-40.0%,358,2.9%,
,330,-6.8%,17,6.3%,45,-10.0%,33,-2.9%,,2,100.0%,50,11.1%,,9,-52.6%,486,-6.4%,
,132,-48.6%,19,-40.6%,27,8.0%,3,-57.1%,,3,50.0%,2,-71.4%,,2,-60.0%,188,-43.9%,
,61,-14.1%,2,100.0%,8,14.3%,7,16.7%,,,,13,44.4%,,,,91,-2.2%,
,51,-7.3%,,,1,0.0%,1,100.0%,,1,100.0%,10,-23.1%,,2,-33.3%,66,-8.3%,
,155,4.7%,1,100.0%,7,-22.2%,1,0.0%,,3,50.0%,20,25.0%,,2,-60.0%,189,4.4%,
,115,-14.8%,13,85.7%,24,4.3%,6,50.0%,,2,100.0%,21,0.0%,,5,0.0%,186,-5.1%,
,135,7.1%,1,0.0%,15,-6.3%,3,200.0%,,1,0.0%,14,16.7%,,0,-100.0%,169,5.6%,
,147,13.1%,1,100.0%,9,-18.2%,3,50.0%,,1,0.0%,19,58.3%,,1,0.0%,181,15.3%,
,324,4.5%,4,33.3%,22,22.2%,1,0.0%,,3,200.0%,26,44.4%,,5,-28.6%,385,7.5%,
,182,0.6%,3,100.0%,4,-20.0%,,,,2,100.0%,56,16.7%,,6,-33.3%,253,4.1%,
,499,16.0%,2,-33.3%,34,3.0%,9,28.6%,,3,50.0%,18,-21.7%,,12,33.3%,577,13.8%,
,5122,3.9%,137,25.7%,379,0.0%,94,-1.1%,,35,66.7%,392,6.2%,,87,-21.6%,6246,3.9%,
,619,-7.6%,13,-27.8%,65,-20.7%,32,23.1%,,6,50.0%,128,25.5%,,19,0.0%,882,-4.2%,
,502,8.4%,4,100.0%,50,-3.8%,4,0.0%,,3,0.0%,46,155.6%,,5,-37.5%,614,11.6%,
,174,4.8%,3,0.0%,7,-30.0%,5,66.7%,,1,100.0%,46,-6.1%,,6,0.0%,242,2.1%,
,1295,-0.3%,20,-13.0%,122,-15.3%,41,24.2%,,10,42.9%,220,30.2%,,30,-9.1%,1738,1.8%,
,587,-2.7%,10,-23.1%,35,-30.0%,14,7.7%,,2,-50.0%,20,0.0%,,10,11.1%,678,-4.8%,
,1718,-5.6%,56,12.0%,136,-2.2%,73,10.6%,,10,-23.1%,70,-10.3%,,30,7.1%,2093,-4.6%,
,595,-6.2%,4,-60.0%,43,-12.2%,17,21.4%,,0,-100.0%,39,34.5%,,11,22.2%,709,-5.0%,
,470,-15.8%,15,50.0%,35,-18.6%,35,-10.3%,,0,-100.0%,49,11.4%,,11,-8.3%,615,-13.3%,
,320,-12.3%,7,16.7%,27,-49.1%,9,0.0%,,3,50.0%,28,27.3%,,7,-12.5%,401,-13.8%,
,717,-2.2%,12,9.1%,54,0.0%,11,0.0%,,3,0.0%,18,-10.0%,,11,-21.4%,826,-2.4%,
,4407,-6.5%,104,4.0%,330,-14.9%,159,4.6%,,18,-30.8%,224,5.2%,,80,0.0%,5322,-6.2%,
,1,-66.7%,,,0,-100.0%,,,,,,,,,0,-100.0%,1,-80.0%,
,356,-0.8%,33,-23.3%,63,10.5%,2,-33.3%,,3,0.0%,24,9.1%,,5,-28.6%,486,-1.6%,
,245,13.4%,12,-25.0%,56,16.7%,1,-75.0%,,2,0.0%,25,31.6%,,5,66.7%,346,12.3%,
,1230,8.8%,35,-5.4%,116,0.0%,14,7.7%,,6,20.0%,10,0.0%,,16,-15.8%,1427,7.3%,
,1659,8.5%,58,-7.9%,119,7.2%,14,7.7%,,13,44.4%,18,-5.3%,,18,-5.3%,1899,7.7%,
,3491,7.8%,138,-13.2%,354,6.3%,31,-6.1%,,24,26.3%,77,10.0%,,44,-10.2%,4159,6.6%,
,374,9.4%,6,-14.3%,49,-5.8%,11,-21.4%,,4,100.0%,80,15.9%,,10,-9.1%,534,7.4%,
,169,100.0%,10,100.0%,23,100.0%,28,100.0%,,1,100.0%,45,100.0%,,3,100.0%,279,100.0%,
,371,-12.5%,13,0.0%,46,-11.5%,40,-25.9%,,0,-100.0%,107,-1.8%,,11,-31.3%,588,-12.1%,
,106,30.9%,19,26.7%,64,39.1%,9,12.5%,,1,100.0%,10,11.1%,,2,-66.7%,211,27.9%,
,793,-6.4%,22,-18.5%,73,7.4%,108,-9.2%,,2,-60.0%,253,1.2%,,15,-16.7%,1266,-5.1%,
,723,1.1%,21,-8.7%,108,24.1%,25,-3.8%,,2,-60.0%,192,-2.0%,,14,27.3%,1085,2.1%,
,756,11.2%,39,14.7%,99,-10.8%,138,7.8%,,7,-12.5%,312,-20.0%,,13,-18.8%,1364,-0.2%,
,943,-4.3%,49,-3.9%,134,-3.6%,51,-10.5%,,7,-12.5%,18,-18.2%,,13,-27.8%,1215,-5.1%,
,184,-51.5%,17,-29.2%,36,-33.3%,21,-55.3%,,2,0.0%,229,-0.9%,,8,-27.3%,497,-33.6%,
,853,-1.4%,13,62.5%,73,-16.1%,31,-16.2%,,1,0.0%,265,14.7%,,14,-17.6%,1250,0.3%,
,128,20.8%,5,-28.6%,20,0.0%,7,16.7%,,1,100.0%,42,13.5%,,5,25.0%,208,15.6%,
,175,9.4%,3,-25.0%,21,-4.5%,6,0.0%,,,,136,22.5%,,5,150.0%,346,13.4%,
,5575,-0.2%,217,1.9%,746,1.1%,475,-5.4%,,28,-12.5%,1689,2.1%,,113,-13.1%,8843,-0.1%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,,,,,
