Headcount by Major by Level by Entry Status,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,
Spring 2002,,Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re-Admi tted,Contin uing,1st Time Graduate,Re-Admi tted,Contin uing,1st Time Graduate,Re-Admi tted,Contin uing,Continuing,,
Geosciences,ATMO,2,1,1,3,14,1,1,24,2,1,9,,36,
,ESCI,,,,,,,,,,,,,14,
,GEOG,,,,,134,5,,16,2,,21,,183,
,GEOL,,,4,2,87,3,,44,,,23,,163,
,GEOP,,,,,19,,1,16,,,18,,55,
,GEOS,,,,,,,,4,,,,,4,
,METR,,,6,1,124,,,3,,,3,,138,
,OCNG,,,,,,5,,41,2,,32,,80,
,Subtotal,,1,11,6,378,14,2,148,6,1,106,,673,
G. Bush School,BUSH,,,,,,1,,73,,,,,74,
of Govt,Subtotal,,,,,,1,,73,,,,,74,
Liberal Arts,AMST,,,1,,13,,,,,,,,14,
,ANTH,,,2,3,123,3,,76,,,37,,244,
,ECON,,,29,2,585,2,,27,,,55,,700,
,ENGL,,,10,3,541,3,1,36,1,,72,,667,
,FREN,,,,,13,,,,,,,,13,
,GERM,,,,,8,,,,,,,,8,
,HIST,,,17,10,475,,,18,,,44,,564,
,INTS,,,11,3,249,,,,,,,,263,
,JOUR,,,20,2,747,,,1,,,,,772,
,MODL,,,,,2,3,,12,,,,,17,
,MUSC,,,1,,22,,,,,,,,23,
,PHIL,,,3,,75,4,,24,,,,,106,
,POLL,,,,,1,,,,,,,,1,
,POLS,3,,28,11,839,,,15,,,32,,928,
,PSYC,2,1,37,9,1295,,,41,,,52,,1437,
,RUSS,,,,,9,,,,,,,,9,
,SCOM,,,18,1,735,,,15,,,21,,790,
,SOCI,,,9,4,231,1,,24,,,38,,307,
,SPAN,,,4,,54,,,,,,,,58,
,STJR,,,,,,2,,11,,,,,13,
,TCMS,,,2,,16,,,,,,,,18,
,THAR,,,4,,47,,,,,,,,51,
,Subtotal,7,1,196,48,6080,18,1,300,1,,351,,7003,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,
