Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Education,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,3017,7.3%,537,12.6%,605,-1.0%,,,4159,6.6%,
Gender,Female,2453,7.5%,396,14.1%,395,2.3%,,,3244,7.6%,
,Male,564,6.2%,141,8.5%,210,-6.7%,,,915,3.3%,
Ethnicity,White,2684,8.1%,396,15.8%,411,-0.2%,,,3491,7.8%,
,Black,48,-4.0%,33,-17.5%,57,-17.4%,,,138,-13.2%,
,Hispanic,206,3.0%,65,12.1%,83,10.7%,,,354,6.3%,
,Asian,23,0.0%,4,-20.0%,4,-20.0%,,,31,-6.1%,
,American Indian,19,35.7%,1,0.0%,4,0.0%,,,24,26.3%,
,International,5,0.0%,33,13.8%,39,8.3%,,,77,10.0%,
,Unknown/Other,32,-13.5%,5,150.0%,7,-30.0%,,,44,-10.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1423,2.2%,0,-100.0%,,,,,1423,2.2%,
,22-25,1495,14.0%,149,10.4%,11,57.1%,,,1655,13.9%,
,26-30,57,-18.6%,137,14.2%,89,-1.1%,,,283,1.1%,
,31-39,29,3.6%,125,34.4%,203,2.5%,,,357,11.9%,
,40+,13,18.2%,126,-1.6%,302,-4.4%,,,441,-3.1%,
Enrollment,1st Time in College,4,0.0%,,,,,,,4,0.0%,
Status,1st Time PB,6,50.0%,,,,,,,6,50.0%,
,1st Time Graduate,,,28,21.7%,15,25.0%,,,43,22.9%,
,1st Time Transfer,128,3.2%,,,,,,,128,3.2%,
,Re-Admitted,23,4.5%,4,100.0%,4,100.0%,,,31,19.2%,
,Continuing,2856,7.4%,505,11.7%,586,-1.8%,,,3947,6.5%,
Tuition,Resident Tuition,2944,7.3%,459,13.9%,513,-0.4%,,,3916,7.0%,
Status,Non-Resident Tuition,43,4.9%,24,-4.0%,30,-11.8%,,,97,-3.0%,
,Tuition Exemption/Waiver,30,7.1%,54,10.2%,62,0.0%,,,146,5.0%,
Residency,Texas Resident,2947,7.4%,468,16.1%,514,-0.4%,,,3929,7.2%,
Status,"Non-TX, US Resident",65,4.8%,36,-20.0%,51,-13.6%,,,152,-8.4%,
,"Non-TX, Non-US Resident",5,0.0%,33,13.8%,40,11.1%,,,78,11.4%,
SCH,< 6 SCH,33,-25.0%,151,-0.7%,269,-8.5%,,,453,-7.6%,
Categories,6-8 SCH,149,13.7%,197,34.9%,80,1.3%,,,426,19.7%,
,9-11 SCH,222,-2.6%,128,11.3%,203,9.7%,,,553,4.7%,
,12-14 SCH,1440,3.5%,49,-19.7%,37,-22.9%,,,1526,1.7%,
,15-17 SCH,1079,19.6%,10,233.3%,16,300.0%,,,1105,21.6%,
,>17 SCH,94,-19.0%,2,100.0%,0,-100.0%,,,96,-17.9%,
Ft/Pt:,Less Than Half Time,32,-27.3%,129,-7.2%,222,-8.6%,,,383,-10.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","76
129","-42.0%
-43.4%",219,37.7%,127,-2.3%,,,"422
129","0.5%
-43.4%",
,Full-Time,2780,15.4%,189,5.6%,256,7.6%,,,3225,14.1%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
