Demographic Summary by Housing,,,,,,,,,,
Spring 2002,,,,,,,,,,
"Spring 2002
Head Count      Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories         18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment        1st Time in College
Status                1st Time PB
1st Time Graduate 1st Time Transfer Re-Admitted Continuing
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Full-Time",Undergraduate,,Masters,,,PhD,Professional,GRAND Total,,
,Off-campus,Dorm,Off-campus,,Dorm,Off-campus,Off-campus,Off-campus,Dorm,
,,(On-campus),,(O,n-campus),,,,(On-campus),
,24635,9550,4273,,14,2912,490,32310,9564,
,12462,4248,1733,,4,1055,337,15587,4252,
,12173,5302,2540,,10,1857,153,16723,5312,
,20637,7483,2271,,9,1290,439,24637,7492,
,476,356,89,,,84,,649,356,
,1915,1084,222,,,136,23,2296,1084,
,767,368,85,,1,48,18,918,369,
,128,49,6,,,9,4,147,49,
,350,90,1547,,4,1318,,3215,94,
,362,120,53,,,27,6,448,120,
,,2,,,,,,,2,
,10270,8190,9,,2,,2,10281,8192,
,13179,1329,1861,,9,135,226,15401,1338,
,775,25,1372,,3,951,195,3293,28,
,295,4,685,,,1227,55,2262,4,
,116,,346,,,599,12,1073,,
,4180,924,621,,,521,,5322,924,
,1053,275,313,,2,95,,1461,277,
,3345,1170,734,,2,71,,4150,1172,
,2526,491,536,,1,605,,3667,492,
,4630,2345,1119,,8,741,,6490,2353,
,287,109,164,,,113,,564,109,
,,,74,,,,,74,,
,4854,1478,318,,1,352,,5524,1479,
,1014,652,275,,,332,,1621,652,
,1150,586,67,,,82,490,1789,586,
,1590,1499,,,,,,1590,1499,
,6,21,52,,,,,58,21,
,40,33,,,,,,40,33,
,28,,,,,,,28,,
,,,298,,3,84,,382,3,
,697,69,,,,,,697,69,
,246,13,19,,,7,,272,13,
,23624,9435,3956,,11,2821,490,30891,9446,
,23515,8955,2098,,9,1086,471,27170,8964,
,717,245,535,,1,405,8,1665,246,
,403,350,1640,,4,1421,11,3475,354,
,23566,8976,2125,,9,1091,471,27253,8985,
,712,480,601,,1,495,19,1827,481,
,357,94,1547,,4,1326,,3230,98,
,714,55,665,,,738,,2117,55,
,948,45,387,,1,159,,1494,46,
,1670,99,2312,,11,1867,,5849,110,
,13766,5904,677,,1,116,1,14560,5905,
,7002,3288,211,,1,31,32,7276,3289,
,535,159,21,,,1,457,1014,159,
,574,55,551,,,625,,1750,55,
,843,45,491,,1,260,,1594,46,
,1541,97,,,,,,1541,97,
,21677,9353,3231,,13,2027,490,27425,9366,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,
