Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,6332,9.4%,319,2.2%,352,-3.3%,,,7003,8.3%,
Gender,Female,3855,7.8%,172,3.0%,140,-5.4%,,,4167,7.1%,
,Male,2477,12.0%,147,1.4%,212,-1.9%,,,2836,10.2%,
Ethnicity,White,5248,11.1%,214,1.4%,235,-2.1%,,,5697,10.1%,
,Black,151,0.0%,3,-62.5%,5,0.0%,,,159,-3.0%,
,Hispanic,635,4.8%,23,21.1%,17,-15.0%,,,675,4.7%,
,Asian,141,3.7%,6,0.0%,4,-42.9%,,,151,1.3%,
,American Indian,43,34.4%,0,-100.0%,2,100.0%,,,45,32.4%,
,International,25,-30.6%,67,24.1%,83,-2.4%,,,175,0.0%,
,Unknown/Other,89,-14.4%,6,-53.8%,6,0.0%,,,101,-17.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,3133,6.5%,1,100.0%,,,,,3134,6.5%,
,22-25,2993,15.0%,120,2.6%,8,-33.3%,,,3121,14.2%,
,26-30,126,-16.6%,109,13.5%,112,-12.5%,,,347,-7.5%,
,31-39,54,-11.5%,59,-3.3%,163,7.2%,,,276,0.7%,
,40+,26,-16.1%,30,-21.1%,69,-4.2%,,,125,-11.3%,
Enrollment,1st Time in College,7,-56.3%,,,,,,,7,-56.3%,
Status,1st Time PB,1,100.0%,,,,,,,1,100.0%,
,1st Time Graduate,,,18,125.0%,1,-75.0%,,,19,58.3%,
,1st Time Transfer,196,4.3%,,,,,,,196,4.3%,
,Re-Admitted,48,6.7%,1,100.0%,0,-100.0%,,,49,6.5%,
,Continuing,6080,9.8%,300,-1.3%,351,-2.2%,,,6731,8.5%,
Tuition,Resident Tuition,6070,9.9%,155,4.0%,151,-4.4%,,,6376,9.4%,
Status,Non-Resident Tuition,144,0.7%,53,20.5%,56,-8.2%,,,253,2.0%,
,Tuition Exemption/Waiver,118,-3.3%,111,-6.7%,145,0.0%,,,374,-3.1%,
Residency,Texas Resident,6084,10.1%,156,4.7%,151,-4.4%,,,6391,9.5%,
Status,"Non-TX, US Resident",222,-1.3%,96,-11.9%,117,-3.3%,,,435,-4.4%,
,"Non-TX, Non-US Resident",26,-27.8%,67,24.1%,84,-1.2%,,,177,1.1%,
SCH,< 6 SCH,73,-2.7%,68,-5.6%,123,-7.5%,,,264,-5.7%,
Categories,6-8 SCH,202,14.8%,16,-11.1%,13,0.0%,,,231,11.6%,
,9-11 SCH,394,30.5%,218,8.5%,204,0.0%,,,816,15.4%,
,12-14 SCH,3316,5.4%,17,-10.5%,9,-10.0%,,,3342,5.2%,
,15-17 SCH,2181,13.5%,0,-100.0%,3,0.0%,,,2184,13.4%,
,>17 SCH,166,-0.6%,,,0,-100.0%,,,166,-1.2%,
Ft/Pt:,Less Than Half Time,68,-9.3%,60,1.7%,96,-7.7%,,,224,-5.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","195
382","10.8%
26.5%",24,-20.0%,40,-4.8%,,,"259
382","4.4%
26.5%",
,Full-Time,5687,8.6%,235,5.4%,216,-0.9%,,,6138,8.1%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
