Demographic Summary by Classification,,,,,,,
Graduate Students Summer 2002,,,,,,,
Summer 2002,,"G6: PB
Non-Degreed",G7: Masters,G8: Doctoral,"G9: GR
Conditional",Grand Total,
Head Count,Total,251,2541,2214,14,251,
Gender,Female,143,1077,815,8,2043,
,Male,108,1464,1399,6,2977,
Ethnicity,White,185,1382,945,13,2525,
,Black,14,34,66,,114,
,Hispanic,27,111,106,1,245,
,Asian,4,49,41,,94,
,American Indian,,6,5,,11,
,International,15,928,1029,,1972,
,Unknown/Other,6,31,22,,59,
TAMU Age,18-21,2,11,1,,14,
Categories,22-25,40,1335,152,6,1533,
,26-30,61,751,807,2,1621,
,31-39,51,333,833,1,1218,
,40+,97,111,421,5,634,
College,Agriculture,20,437,406,1,864,
,Architecture,4,175,45,,224,
,Business Admin,3,398,66,,467,
,Education,117,337,479,3,936,
,Engineering,11,711,571,2,1295,
,G. Bush School of Govt,24,26,,1,51,
,Geosciences,9,99,87,1,196,
,Liberal Arts,2,138,183,1,324,
,Science,43,158,304,4,509,
,Veterinary Medicine,1,45,73,1,120,
,Other - Special Populations,17,17,,,34,
Enrollment,1st Time Graduate,,339,47,3,389,
Status,Readmitted,,7,4,,11,
,Continuing,251,2195,2163,11,4620,
Tuition Status,Resident Tuition,179,1255,785,8,2227,
,Non-Resident Tuition,50,316,286,2,654,
,Tuition  Exemption/Waiver,22,970,1143,4,2139,
Residency,Texas Resident,180,1266,788,9,2243,
Status,"Non-TX, US Resident",55,344,391,5,795,
,"Non-TX, Non-US Resident",16,931,1035,,1982,
SCH,< 6 SCH,115,703,680,3,1501,
Categories,6-8 SCH,106,1439,1404,10,2959,
,9-11 SCH,24,270,101,1,396,
,12-14 SCH,6,115,26,,147,
,15-17 SCH,,14,3,,17,
Ft/Pt: TAMU,Less Than Half Time,3,256,434,,693,
Status,Half-Time,12,198,93,1,304,
,Full-Time,236,2087,1687,13,4023,
"Prepared by OISP, 09 Aug 02",,,,,,,
