"Summer 2002
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC JOUR PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EDAD EDCI EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH  of Govt                     Subtotal",Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
11
11
1
4
2
7
1
1
2
1
1
1
1
8","1st Time PB
1
1
1
1
1
1
1
1
2","1st Time Transfer
15
32
3
3
3
5
2
2
3
8
4
9
1
3
93
4
2
1
7
1
11
12
32
19
2
53
3
4
4
12
17
10
7
3
3
2
65","Readmitted
1
9
1
1
4
3
1
3
1
3
1
28
3
2
5
1
4
3
3
3
4
18
8
2
10
1
3
4
3
2
1
1
15","Continuing
322
614
428
145
160
104
13
12
63
3
74
55
56
183
38
160
2430
277
218
28
523
379
321
298
230
211
416
1855
1
3
12
681
779
1476
121
101
207
35
336
322
389
480
116
328
66
40
2541",1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,4,1,45,1,1,36,,425,
,,,,,,8,,35,1,,23,,723,
,,,,,,4,,72,,,43,,552,
,,,,,,1,,17,,,9,,176,
,,,,,,2,,27,,,76,,268,
,,,,,,,,,,,,,113,
,,,,,,3,,23,1,,29,,69,
,,,,,,2,1,4,,1,5,,27,
,,,,,,,,18,,,22,,108,
,,,,,,,,,,,,,6,
,,,,,,1,,5,,,23,,104,
,,,,,,2,,14,1,,17,,100,
,,,,,,2,,19,,,22,,104,
,,,,,,,,11,,,9,,215,
,,,,,,7,,42,2,,43,,133,
,,,,,,9,,79,1,,40,,294,
,,,,,,45,2,411,7,2,397,,3417,
,,,,,,18,,100,1,,21,,425,
,,,,,,2,,33,,,,,257,
,,,,,,1,,25,,,23,,78,
,,,,,,21,,158,1,,44,,760,
,,,,,,57,,32,,,14,,484,
,,,,,,2,,75,,,,,424,
,,,,,,72,,64,,,8,,445,
,,,,,,18,,33,,,11,,295,
,,,,,,,,16,,,22,,253,
,,,,,,5,,27,2,,9,,463,
,,,,,,154,,247,2,,64,,2364,
,,,,,,,,,,,,,1,
,,,,,,10,1,113,16,1,224,,368,
,,,,,,5,1,,2,,,,8,
,,,,,,16,1,28,1,,1,,92,
,,,,,,21,,124,3,,120,,268,
,,,,,,5,1,41,,,32,,791,
,,,,,,8,,82,,,79,,954,
,,,,,,65,4,388,22,1,456,,2482,
,,,,,,,,32,3,,36,,195,
,,,,,,,,31,,,19,,151,
,,,,,,2,,26,2,,70,,312,
,,,,,,1,,2,,,18,,56,
,,,,,,3,,93,1,,52,,493,
,,,,,,7,1,100,1,,67,,514,
,,,,,,8,,73,2,,138,,631,
,,,,,,,,,,,,,494,
,,,,,,3,,87,,,32,,247,
,,,,,,5,,143,,1,73,,556,
,,,,,,,,27,,,25,,123,
,,,,,,3,,77,1,,30,,154,
,,,,,,32,1,691,10,1,560,,3926,
,,,,,,2,,49,,,,,51,
,,,,,,2,,49,,,,,51,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,
