Country,Undergraduate,Masters,PhD,Professional,Total Students
South Africa,1,2,1,,4
Spain,2,1,1,,4
Sri Lanka (Ceylon),1,4,3,,8
Sudan,,1,,,1
Suriname,1,,,,1
Syria,,,1,,1
Taiwan,7,10,37,,54
Thailand,3,11,14,,28
Trinidad & Tobago,,1,1,,2
Turkey,9,20,28,,57
Uganda,,,2,,2
Ukraine,,1,,,1
United Arab Emirates,3,2,,,5
United Kingdom,2,4,5,,11
United States,"13,762","1,858","1,179",124,"16,923"
Uruguay,,,3,,3
Uzbekistan,,4,1,,5
Venezuela,6,24,13,,43
"Viet Nam, (South)",2,1,2,,5
Yemen,,1,,,1
YUGOSLAVIA (OLD),1,,3,,4
Zambia,,1,,,1
Zimbabwe (Rhodesia),,,1,,1
