Demographic Summary by Housing,,,,,,,,,,,
Summer 2002,,,,,,,,,,,
Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,Grand,Total,
,,Off-campus,Dorm (On-campus),Off-campus,Dorm (On-campus),Off-campus,Dorm (On-campus),Off-campus,Off-campus,Dorm (On-campus),
Head Count,Total,13311,704,2802,4,2210,4,124,18447,712,
Gender,Female,6872,273,1226,2,812,3,83,8993,278,
,Male,6439,431,1576,2,1398,1,41,9454,434,
Ethnicity,White,10872,426,1577,3,943,2,113,13505,431,
,Black,352,66,48,,65,1,,465,67,
,Hispanic,1123,126,139,,106,,3,1371,126,
,Asian,457,47,53,,41,,7,558,47,
,American Indian,72,2,6,,5,,,83,2,
,International,221,16,942,1,1028,1,,2191,18,
,Unknown/Other,214,21,37,,22,,1,274,21,
TAMU Age,<18,5,2,,,,,,5,2,
Categories,18-21,6164,538,13,,1,,,6178,538,
,22-25,6534,150,1379,2,152,,45,8110,152,
,26-30,414,12,814,,807,,54,2089,12,
,31-39,159,2,385,,831,2,19,1394,4,
,40+,35,,211,2,419,2,6,671,4,
College,Agriculture,2479,74,458,,406,,,3343,74,
,Architecture,524,12,179,,44,1,,747,13,
,Business Admin,1849,48,401,,66,,,2316,48,
,Education,1526,20,455,2,477,2,,2458,24,
,Engineering,2407,224,722,2,571,,,3700,226,
,G. Bush School of Govt,,,51,,,,,51,,
,Geosciences,181,9,109,,87,,,377,9,
,Liberal Arts,2773,98,141,,183,,,3097,98,
,Science,545,50,205,,304,,,1054,50,
,Veterinary Medicine,574,23,47,,72,1,124,817,24,
,General Studies,437,146,,,,,,437,146,
,Other - Special Populations,16,,34,,,,,50,,
Enrollment,1st Time in College,97,113,,,,,,97,113,
Status,1st Time PB,7,,,,,,,7,,
,1st Time Graduate,,,341,1,47,,,388,1,
,1st Time Transfer,268,24,,,,,,268,24,
,Readmitted,121,3,7,,4,,,132,3,
,Continuing,12818,564,2454,3,2159,4,124,17555,571,
Tuition Status,Resident Tuition,12674,630,1439,3,782,3,117,15012,636,
,Non-Resident Tuition,384,32,368,,285,1,2,1039,33,
,Tuition Exemption/Waiver,253,42,995,1,1143,,5,2396,43,
Residency Status,Texas Resident,12696,633,1452,3,785,3,117,15050,639,
,"Non-TX, US Resident",382,53,404,,391,,7,1184,53,
,"Non-TX, Non-US Resident",233,18,946,1,1034,1,,2213,20,
SCH Categories,< 6 SCH,3751,111,820,1,679,1,4,5254,113,
,6-8 SCH,5117,230,1552,3,1404,,120,8193,233,
,9-11 SCH,2521,162,295,,99,2,,2915,164,
,12-14 SCH,1745,194,121,,25,1,,1891,195,
,15-17 SCH,151,6,14,,3,,,168,6,
,>17 SCH,26,1,,,,,,26,1,
Ft/Pt:  TAMU,Less Than Half Time,589,46,259,,433,1,,1281,47,
Status,Half-Time,3936,138,211,,93,,4,4244,138,
,Three-Quarter Time,17,,,,,,,17,,
,Full-Time,8769,520,2332,4,1684,3,120,12905,527,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,
