"Fall 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH  of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
85
61
145
36
90
4
5
1
11
4
8
13
9
4
41
517
84
47
23
154
843
843
10
133
246
389
191
85
91
87
191
183
178
30
25
224
42
52
1,379
38
3
1
13
55","1st Time PB
2
1
1
1
5
1
1
1
1
1
1
3
1
6","1st Time Transfer
36
97
82
17
6
11
5
9
17
5
21
21
21
14
32
394
28
29
8
65
10
31
3
5
2
5
56
15
1
95
189
300
10
11
18
26
41
55
36
16
49
13
13
288
8
1
8
1
18","Readmitted
2
40
10
5
5
23
4
1
3
9
6
6
6
2
7
129
3
2
5
1
6
4
3
4
8
26
3
1
19
18
41
2
1
5
1
9
9
5
12
7
4
55
6
3
9","Continuing
454
1,111
832
254
249
187
44
50
110
143
151
122
227
114
334
4,382
426
524
103
1,053
587
1,105
523
249
354
645
3,463
124
1,204
1,624
2,952
286
183
363
156
586
801
787
881
211
750
145
178
5,327
92
7
146
86
331",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,34,1,48,10,1,38,,,709,
,,,,,,4,27,,41,12,,44,,,"1,440",
,,,,,,4,30,,76,6,,44,,,"1,230",
,,,,,,,8,,29,3,,14,,,366,
,,,,,,1,30,,23,8,,84,,,496,
,,,,,,,,,,,,,,,226,
,,,,,,,9,,24,1,,28,,,120,
,,,,,,2,2,,12,1,,7,,,85,
,,,,,,1,5,,22,2,,26,,,197,
,,,,,,,2,,7,5,,19,,,194,
,,,,,,2,10,,8,2,,20,,,228,
,,,,,,3,5,,33,,,28,,,231,
,,,,,,,9,,13,3,,25,,,313,
,,,,,,,18,1,53,5,,51,,,262,
,,,,,,2,22,,78,10,1,60,,,588,
,,,,,,20,211,2,467,68,2,488,,,"6,685",
,,,,,,7,78,1,149,6,,50,,,833,
,,,,,,2,33,2,46,,,,,,685,
,,,,,,,42,,48,10,,31,,,265,
,,,,,,9,153,3,243,16,,81,,,"1,783",
,,,,,,,115,,29,4,,13,,,759,
,,,,,,6,115,,140,,,,,,"2,246",
,,,,,,,109,,66,1,,9,,,715,
,,,,,,,73,,46,,,12,,,388,
,,,,,,,17,,21,4,,21,,,423,
,,,,,,,27,,26,2,,11,,,724,
,,,,,,6,456,,328,11,,66,,,"5,255",
,,,,,,,,,,,,,,,152,
,,,,,,32,37,2,101,22,2,299,,,497,
,,,,,,21,63,,101,17,,163,,,365,
,,,,,,12,43,,42,12,,39,,,"1,600",
,,,,,,35,38,2,59,6,3,112,,,"2,332",
,,,,,,100,181,4,303,57,5,613,,,"4,946",
,,,,,,,15,,32,4,,42,,,582,
,,,,,,,12,,30,6,,21,,,350,
,,,,,,,25,,25,4,,78,,,609,
,,,,,,,,,7,2,,22,,,275,
,,,,,,14,72,,121,18,1,115,,,"1,154",
,,,,,,1,91,1,124,31,,100,,,"1,382",
,,,,,,,73,,101,24,,158,,,"1,381",
,,,,,,,12,,15,,,,,,986,
,,,,,,1,38,,117,8,,50,,,466,
,,,,,,4,70,1,167,28,1,101,,,"1,405",
,,,,,,1,14,1,28,2,,32,,,282,
,,,,,,2,42,,82,1,,27,,,398,
,,,,,,23,464,3,849,128,2,746,,,"9,270",
,,,,,,41,51,,64,,,,,,156,
,,,,,,41,51,,64,,,,,,156,
,,,,,,5,11,,25,2,,19,,,200,
,,,,,,,2,,,,,,,,13,
,,,,,,2,6,,14,2,,22,,,207,
,,,,,,1,20,,45,4,,36,,,209,
,,,,,,,13,,31,2,,28,,,74,
,,,,,,8,52,,115,10,,105,,,703,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,
