"Fall 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special         CLMD
Populations              COFD INEN MARS POLS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,160,-15.3%,3,0.0%,10,-16.7%,2,100.0%,,0,-100.0%,22,0.0%,,3,50.0%,200,-13.0%,
,9,350.0%,,,3,100.0%,1,100.0%,,,,,,,,,13,550.0%,
,167,6.4%,4,0.0%,17,-10.5%,1,100.0%,,1,100.0%,15,15.4%,,2,100.0%,207,6.7%,
,153,-6.7%,1,100.0%,5,-64.3%,2,-60.0%,,1,-50.0%,43,-12.2%,,4,-33.3%,209,-12.9%,
,46,0.0%,,,1,-50.0%,1,0.0%,,,,26,-3.7%,,0,-100.0%,74,-5.1%,
,535,-4.1%,8,14.3%,36,-23.4%,7,0.0%,,2,-33.3%,106,-4.5%,,9,-18.2%,703,-5.5%,
,184,-0.5%,2,100.0%,23,-17.9%,5,-37.5%,,1,-50.0%,13,8.3%,,7,40.0%,235,-2.5%,
,313,22.7%,11,10.0%,69,27.8%,13,0.0%,,4,300.0%,8,60.0%,,8,166.7%,426,24.9%,
,700,-5.1%,9,-10.0%,72,0.0%,5,-58.3%,,7,0.0%,7,16.7%,,8,-27.3%,808,-5.6%,
,514,-9.3%,17,142.9%,68,25.9%,27,-10.0%,,1,-50.0%,95,11.8%,,10,-16.7%,732,-3.3%,
,590,3.1%,23,53.3%,50,-3.8%,10,66.7%,,5,66.7%,26,4.0%,,12,-7.7%,716,4.4%,
,598,23.0%,8,-33.3%,56,-13.8%,4,0.0%,,5,-28.6%,3,200.0%,,15,-11.8%,689,16.4%,
,327,-42.3%,10,-37.5%,22,-52.2%,4,-42.9%,,1,-50.0%,9,50.0%,,3,-50.0%,376,-42.2%,
,86,22.9%,,,41,13.9%,1,0.0%,,,,2,0.0%,,1,-50.0%,131,18.0%,
,112,3.7%,3,200.0%,16,77.8%,3,-50.0%,,,,4,33.3%,,7,-12.5%,145,7.4%,
,882,5.5%,28,7.7%,113,8.7%,21,0.0%,,4,-20.0%,14,-12.5%,,8,-20.0%,"1,070",5.1%,
,81,19.1%,6,50.0%,15,0.0%,1,100.0%,,0,-100.0%,,,,1,0.0%,104,16.9%,
,"1,191",-3.4%,54,10.2%,160,-1.8%,42,-10.6%,,5,-54.5%,15,25.0%,,15,-16.7%,"1,482",-3.3%,
,263,6.5%,14,-12.5%,38,22.6%,9,12.5%,,1,0.0%,18,-14.3%,,4,33.3%,347,6.1%,
,"5,841",-1.5%,185,10.8%,743,1.9%,145,-11.0%,,34,-19.0%,214,10.3%,,99,-9.2%,"7,261",-1.0%,
,"1,002",-3.6%,45,0.0%,192,-1.0%,111,1.8%,,4,-33.3%,35,2.9%,,11,-21.4%,"1,400",-2.8%,
,273,4.2%,13,0.0%,51,30.8%,26,44.4%,,2,100.0%,108,8.0%,,5,66.7%,478,9.6%,
,370,10.4%,3,-40.0%,24,9.1%,13,-7.1%,,3,200.0%,66,10.0%,,8,-20.0%,487,8.9%,
,108,16.1%,3,-25.0%,12,33.3%,2,-33.3%,,1,100.0%,97,12.8%,,1,0.0%,224,14.3%,
,24,0.0%,,,1,100.0%,3,0.0%,,,,53,-25.4%,,,,81,-17.3%,
,"1,777",1.4%,64,-4.5%,280,6.1%,155,5.4%,,10,25.0%,359,2.3%,,25,-10.7%,"2,670",2.0%,
,"1,950",-0.3%,41,20.6%,261,11.1%,121,6.1%,,15,15.4%,11,10.0%,,25,-26.5%,"2,424",1.2%,
,22,-8.3%,,,0,-100.0%,,,,,,18,50.0%,,0,-100.0%,40,2.6%,
,6,20.0%,,,,,,,,,,,,,,,6,20.0%,
,1,-66.7%,,,,,1,0.0%,,,,1,100.0%,,,,3,-25.0%,
,44,25.7%,1,0.0%,3,0.0%,1,-50.0%,,,,16,33.3%,,1,0.0%,66,22.2%,
,15,-21.1%,1,0.0%,0,-100.0%,1,-50.0%,,,,16,14.3%,,1,0.0%,34,-12.8%,
,"2,038",-0.1%,43,19.4%,264,9.1%,124,4.2%,,15,15.4%,62,29.2%,,27,-27.0%,"2,573",1.5%,
,"2,771",-4.0%,121,-0.8%,372,7.5%,76,-11.6%,,19,11.8%,22,22.2%,,17,-39.3%,"3,398",-3.0%,
,"2,771",-4.0%,121,-0.8%,372,7.5%,76,-11.6%,,19,11.8%,22,22.2%,,17,-39.3%,"3,398",-3.0%,
,1,-66.7%,,,2,0.0%,,,,,,10,233.3%,,,,13,62.5%,
,4,-20.0%,1,100.0%,2,100.0%,4,100.0%,,,,4,300.0%,,,,15,150.0%,
,1,0.0%,,,,,,,,,,,,,,,1,0.0%,
,3,100.0%,,,1,100.0%,,,,,,,,,,,4,100.0%,
,,,,,,,,,,,,1,100.0%,,,,1,100.0%,
,,,,,,,,,,,,49,25.6%,,,,49,25.6%,
,16,45.5%,1,-50.0%,1,-66.7%,2,0.0%,,,,7,40.0%,,3,100.0%,30,30.4%,
,25,25.0%,2,0.0%,6,20.0%,6,200.0%,,,,71,47.9%,,3,100.0%,113,46.8%,
,"34,214",-1.0%,"1,051",0.3%,"3,825",3.0%,"1,311",-2.8%,,199,-5.7%,"3,788",3.0%,,425,-20.6%,"44,813",-0.6%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,,
