"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
6
1
1
1
10
5
1
2
8
27
27
2
3
5
6
13
3
4
8
9
12
1
3
6
2
3
70","Sophomore
1
4
2
1
7
1
16
1
1
2
32
32
1
6
5
12
4
2
3
5
2
19
3
6
3
1
48","Junior
1
3
3
1
2
3
1
1
1
1
17
5
4
9
7
8
10
4
5
3
37
5
8
1
14
5
7
8
2
15
7
19
9
5
3
4
3
87","Senior
2
1
1
17
2
2
5
1
1
2
34
5
2
2
9
14
10
12
7
7
50
1
5
6
12
4
9
13
21
11
52
33
11
9
3
2
168","PB
1
1","Total
2
9
7
3
32
6
2
7
3
2
4
77
15
8
5
28
21
67
20
16
12
10
146
7
21
15
43
15
33
26
9
49
29
103
46
19
24
12
9
374",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,2,2,,,4,
,,,,,,,,,,,,,,10,
,,,,,,,,2,2,3,3,,,12,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,4,4,,,38,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,3,3,,,6,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,3,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,6,
,,,,,,,,8,8,15,15,,,100,
,,,,,,,,9,10,1,1,,,26,
,,,,,,,,2,2,,,,,10,
,,,,,,,,,,,,,,5,
,,,,,,,1,11,12,1,1,,,41,
,,,,,,,,8,8,,,,,29,
,,,,,,,2,9,11,,,,,78,
,,,,,,,,1,1,,,,,21,
,,,,,,,,2,2,,,,,18,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,10,
,,,,,,,2,20,22,,,,,168,
,,,,,,,,,,,,,,7,
,,,,,,,1,1,2,3,3,,,5,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,1,1,,,23,
,,,,,,,2,1,3,2,2,,,20,
,,,,,,,3,4,7,7,7,,,57,
,,,,,,,,1,1,,,,,16,
,,,,,,,,,,,,,,33,
,,,,,,,,2,2,1,1,,,29,
,,,,,,,,1,1,,,,,10,
,,,,,,,2,7,9,7,7,,,65,
,,,,,,,,3,3,4,4,,,36,
,,,,,,,,8,8,2,2,,,113,
,,,,,,,,1,1,,,,,47,
,,,,,,,,4,4,,,,,23,
,,,,,,,,6,6,1,1,,,31,
,,,,,,,1,,1,2,2,,,15,
,,,,,,,,1,1,,,,,10,
,,,,,,,3,34,37,17,17,,,428,
,,,,,,,2,2,4,,,,,4,
,,,,,,,2,2,4,,,,,4,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
