"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
3
2
1
1
1
7
6
1
19
36
4
1
41
31
31
47
47
261","Sophomore
1
1
3
2
3
2
1
2
4
3
1
21
26
3
2
31
27
27
28
28
218","Junior
1
3
1
11
3
5
1
14
2
41
27
2
3
1
33
31
31
1
1
270","Senior
2
5
1
14
3
1
2
1
5
13
4
51
21
4
5
30
22
22
376","PB
1","Total
2
1
1
4
3
13
5
25
9
4
4
1
2
21
1
36
8
132
110
13
11
1
135
111
111
76
76
1,126",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,10,10,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,1,1,,,7,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,5,
,,,,,,,,2,2,,,,,27,
,,,,,,,,,,1,1,,,10,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,21,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,3,3,,,42,
,,,,,,,,,,1,1,,,9,
,,,,,,,,8,8,5,5,,,145,
,,,,,,,,,,1,1,,,111,
,,,,,,,,8,8,5,5,,,26,
,,,,,,,,,1,1,1,,,13,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,1,10,11,9,9,,,155,
,,,,,,,,,,,,,,121,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,2,2,10,10,124,
,,,,,,,,,,,,,,76,
,,,,,,,,,,,,,,76,
,,,,,,,,4,4,,,,,4,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,4,6,,,,,6,
,,,,,,,14,104,118,57,57,10,10,"1,311",
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
