Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,11,100.0%,66,-13.2%,19,46.2%,,,66,-13.2%,
"School of
Govt","INTA
Subtotal",,,"90
156","119.5%
33.3%",,,,,"90
156","119.5%
33.3%",
Geosciences,ATMO,,,40,-4.8%,,,,,59,7.3%,
,ENGS,,,,,,,,,11,100.0%,
,ENST,25,100.0%,,,,,,,25,100.0%,
,ESCI,7,-53.3%,,,,,,,7,-53.3%,
,GEOG,136,-9.3%,22,15.8%,24,-4.0%,,,182,-6.2%,
,GEOL,83,-17.0%,50,2.0%,25,8.7%,,,158,-8.1%,
,GEOP,13,-18.8%,14,-26.3%,15,-16.7%,,,42,-20.8%,
,GEOS,,,4,100.0%,,,,,4,100.0%,
,METR,138,-18.3%,1,-66.7%,2,-33.3%,,,141,-19.4%,
,OCNG,,,44,-2.2%,30,-9.1%,,,74,-5.1%,
,Subtotal,413,-8.2%,175,-2.2%,115,0.0%,,,703,-5.5%,
Liberal Arts,AMST,35,94.4%,,,,,,,35,94.4%,
,ANTH,117,-11.4%,80,9.6%,38,5.6%,,,235,-2.5%,
,COML,,,3,200.0%,,,,,3,200.0%,
,ECON,624,-5.7%,53,15.2%,55,12.2%,,,732,-3.3%,
,ENGL,599,3.8%,50,4.2%,66,8.2%,,,715,4.2%,
,FREN,11,22.2%,,,,,,,11,22.2%,
,GERM,11,10.0%,,,,,,,11,10.0%,
,HIST,620,20.6%,27,-15.6%,42,-8.7%,,,689,16.4%,
,INTS,389,20.8%,,,,,,,389,20.8%,
,JOUR,353,-43.2%,1,0.0%,,,,,354,-43.2%,
,MODL,0,-100.0%,16,0.0%,,,,,16,-11.1%,
,MUSC,25,-7.4%,,,,,,,25,-7.4%,
,PHIL,112,15.5%,27,-18.2%,6,20.0%,,,145,7.4%,
,POLL,0,-100.0%,,,,,,,0,-100.0%,
,POLS,"1,009",5.3%,21,-8.7%,40,11.1%,,,"1,070",5.2%,
,PSYC,"1,393",-3.1%,32,-11.1%,57,-5.0%,,,"1,482",-3.3%,
,RUSS,8,-20.0%,,,,,,,8,-20.0%,
,SCOM,754,-7.1%,14,-6.7%,27,-6.9%,,,795,-7.1%,
,SOCI,287,9.5%,22,-18.5%,38,0.0%,,,347,6.1%,
,SPAN,85,32.8%,,,,,,,85,32.8%,
,STJR,,,22,46.7%,,,,,22,46.7%,
,TCMS,13,8.3%,,,,,,,13,8.3%,
,THAR,79,27.4%,,,,,,,79,27.4%,
,Subtotal,"6,524",-1.3%,368,0.5%,369,2.5%,,,"7,261",-1.0%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
