"Fall 2003
Business                  ACCT
Admin                     AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
836
7
843
12
246
121
10
389","1st Time PB
1
1","1st Time Transfer
10
31
3
5
2
5
56
11
185
1
84
4
15
300","Readmitted
1
6
4
3
4
8
26
4
16
1
11
1
1
3
3
1
41","Continuing
587
5
1,094
6
523
249
354
645
3,463
154
620
671
100
971
124
279
33
2,952",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,6,115,1,29,4,1,13,,,759,
,,,,,,,,,,,,,,,5,
,,,,,,,115,,140,,,,,,"2,228",
,,,,,,,,,,,,,,,13,
,,,,,,,86,,34,1,,9,,,660,
,,,,,,,,,,,,12,,,269,
,,,,,,,17,,21,4,,21,,,423,
,,,,,,,73,,46,,,,,,119,
,,,,,,,27,,26,2,,11,,,724,
,,,,,,,23,,32,,,,,,55,
,,,,,,6,456,,328,11,,66,,,"5,255",
,,,,,,,4,,1,4,,37,,,46,
,,,,,,25,29,,74,12,,185,,,327,
,,,,,,35,38,2,59,6,3,112,,,255,
,,,,,,,,,,,,,,,181,
,,,,,,,,,,,,,,,"1,067",
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,888,
,,,,,,,13,,25,,,,,,38,
,,,,,,7,8,1,27,10,1,114,,,168,
,,,,,,21,40,,75,10,,89,,,235,
,,,,,,1,4,,8,4,,13,,,30,
,,,,,,,,,,,,,,,101,
,,,,,,,,,,,,,,,976,
,,,,,,,,,,,,,,,152,
,,,,,,11,36,,29,5,,21,,,384,
,,,,,,,3,,5,3,,5,,,16,
,,,,,,,6,,,3,,37,,,46,
,,,,,,,,,,,,,,,34,
,,,,,,100,181,4,303,57,5,613,,,"4,946",
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,
