Fall 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,89,30.9%,0,-100.0%,7,0.0%,7,75.0%,1,100.0%,108,-4.4%,3,50.0%,214,8.1%,
,COMG,22,37.5%,2,100.0%,1,0.0%,2,100.0%,,,54,5.9%,2,0.0%,83,16.9%,
,COSC,289,7.4%,2,100.0%,26,0.0%,2,-33.3%,,,,,1,100.0%,321,7.4%,
,COSL,238,-7.8%,3,50.0%,30,11.1%,6,100.0%,1,-50.0%,2,100.0%,1,0.0%,281,-4.1%,
,ENDL,240,-2.0%,4,-42.9%,29,-14.7%,7,-41.7%,2,0.0%,3,100.0%,0,-100.0%,285,-5.6%,
,ENDS,213,-18.1%,5,25.0%,23,4.5%,8,-42.9%,2,0.0%,1,-50.0%,5,-50.0%,257,-18.2%,
,LAND,52,-14.8%,,,1,-66.7%,2,0.0%,,,18,5.9%,2,-50.0%,75,-13.8%,
,LANL,70,9.4%,1,100.0%,10,25.0%,3,100.0%,2,100.0%,0,-100.0%,1,-50.0%,87,14.5%,
,LDEV,11,10.0%,1,0.0%,2,100.0%,,,,,12,100.0%,1,0.0%,27,50.0%,
,URPL,15,66.7%,1,0.0%,5,25.0%,,,,,13,0.0%,1,100.0%,35,29.6%,
,URSC,13,0.0%,1,100.0%,0,-100.0%,,,,,26,13.0%,1,100.0%,41,7.9%,
,VIZA,47,6.8%,,,7,16.7%,4,0.0%,0,-100.0%,18,28.6%,1,0.0%,77,10.0%,
,Subtotal,"1,299",-1.4%,20,-4.8%,141,0.7%,41,-2.4%,8,0.0%,255,6.3%,19,-24.0%,"1,783",-0.6%,
Business,ACCT,652,5.5%,14,27.3%,36,-12.2%,29,26.1%,1,-50.0%,23,-14.8%,4,-50.0%,759,4.0%,
Admin,AGBU,5,-61.5%,,,,,,,,,,,,,5,-61.5%,
,BUAD,"1,908",-0.9%,41,-24.1%,128,-11.1%,78,13.0%,9,80.0%,53,-27.4%,11,-35.3%,"2,228",-2.6%,
,BUAG,13,100.0%,,,,,,,,,,,,,13,100.0%,
,FINC,562,0.2%,7,40.0%,33,-10.8%,21,-8.7%,3,0.0%,24,-33.3%,10,-16.7%,660,-2.5%,
,INFO,206,-37.2%,8,-38.5%,16,-33.3%,16,-44.8%,3,200.0%,15,-6.3%,5,0.0%,269,-35.3%,
,MGMT,343,-5.0%,6,-25.0%,38,8.6%,12,-7.7%,3,0.0%,17,-26.1%,4,-42.9%,423,-6.0%,
,MISY,54,5.9%,3,50.0%,3,0.0%,2,-33.3%,,,56,36.6%,1,-50.0%,119,16.7%,
,MKTG,625,-10.6%,7,-30.0%,48,-11.1%,10,-16.7%,3,-40.0%,22,22.2%,9,-10.0%,724,-10.4%,
,MLER,53,20.5%,,,1,0.0%,,,,,1,100.0%,,,55,22.2%,
,Subtotal,"4,421",-3.9%,86,-16.5%,303,-10.6%,168,-2.3%,22,15.8%,211,-9.8%,44,-27.9%,"5,255",-5.0%,
Education,CPSY,36,-12.2%,4,100.0%,4,-20.0%,,,,,2,100.0%,,,46,-6.1%,
,EDAD,234,-4.1%,32,23.1%,44,33.3%,1,-75.0%,2,0.0%,9,50.0%,5,25.0%,327,2.5%,
,EDCI,162,14.1%,37,12.1%,20,11.1%,5,25.0%,1,0.0%,28,64.7%,2,100.0%,255,18.6%,
,EDHL,156,13.0%,6,50.0%,13,0.0%,4,300.0%,0,-100.0%,,,2,-33.3%,181,13.1%,
,EDIS,946,3.4%,19,46.2%,85,25.0%,8,-27.3%,5,-37.5%,2,-33.3%,2,0.0%,"1,067",4.6%,
,EDIT,2,-85.7%,0,-100.0%,0,-100.0%,0,-100.0%,,,,,,,2,-90.0%,
,EDKI,774,4.0%,20,17.6%,71,18.3%,13,30.0%,3,0.0%,2,0.0%,5,-28.6%,888,5.3%,
,EDTC,29,-9.4%,2,100.0%,3,200.0%,,,,,4,-33.3%,0,-100.0%,38,-5.0%,
,EHRD,102,-2.9%,16,100.0%,26,13.0%,4,300.0%,,,17,0.0%,3,50.0%,168,7.7%,
,EPSY,161,-1.2%,8,33.3%,39,21.9%,1,-50.0%,0,-100.0%,25,13.6%,1,-75.0%,235,1.3%,
,HEED,26,18.2%,3,50.0%,,,,,,,0,-100.0%,1,0.0%,30,15.4%,
,HLTH,84,-17.6%,4,-60.0%,10,-47.4%,1,-66.7%,1,100.0%,,,1,100.0%,101,-24.6%,
,INST,890,3.1%,10,42.9%,53,17.8%,7,250.0%,11,10.0%,2,100.0%,3,-66.7%,976,4.2%,
,ISNC,117,100.0%,7,100.0%,20,100.0%,7,100.0%,,,,,1,100.0%,152,100.0%,
,KINE,321,8.8%,10,-16.7%,24,-17.2%,4,100.0%,1,-50.0%,20,42.9%,4,0.0%,384,7.3%,
,PHED,10,100.0%,,,2,0.0%,1,0.0%,1,0.0%,1,100.0%,1,0.0%,16,60.0%,
,SPSY,27,-3.6%,6,20.0%,10,-9.1%,1,100.0%,,,2,-33.3%,0,-100.0%,46,-4.2%,
,TECR,33,32.0%,0,-100.0%,1,-50.0%,,,0,-100.0%,,,,,34,17.2%,
,Subtotal,"4,110",6.0%,184,24.3%,425,16.8%,57,35.7%,25,-21.9%,114,22.6%,31,-20.5%,"4,946",7.6%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,
