Graduate Students,,,,,,,
Spring 2003,,,,,,,
Spring 2003,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,393,"4,079","3,083",38,"7,593",
Gender,Female,221,"1,636","1,129",19,"3,005",
,Male,172,"2,443","1,954",19,"4,588",
Ethnicity,White,246,"2,114","1,301",26,"3,687",
,Black,18,62,97,2,179,
,Hispanic,47,197,147,4,395,
,Asian,12,95,56,1,164,
,American Indian,1,8,9,,18,
,International,62,"1,532","1,446",4,"3,044",
,Unknown/Other,7,71,27,1,106,
TAMU Age,18-21,2,9,4,1,16,
Categories,22-25,99,"1,918",150,12,"2,179",
,26-30,103,"1,333","1,050",12,"2,498",
,31-39,96,564,"1,270",6,"1,936",
,40+,93,255,609,7,964,
College,Agriculture,30,610,533,3,"1,176",
,Architecture,11,338,91,,440,
,Business Admin,6,711,76,3,796,
,Education,130,407,660,6,"1,203",
,Engineering,34,"1,183",812,5,"2,034",
,G. Bush School of Govt,45,80,,,125,
,Geosciences,15,140,107,3,265,
,Liberal Arts,32,284,376,2,694,
,Science,28,252,351,15,646,
,Veterinary Medicine,5,58,77,1,141,
,Other - Special Populations,57,16,,,73,
Enrollment,1st Time PB,182,,,,182,
Status,1st Time Graduate,,323,126,3,452,
,Readmitted,,6,9,,15,
,Continuing,211,"3,750","2,948",35,"6,944",
Tuition Status,Resident Tuition,286,"1,961","1,141",18,"3,406",
,Non-Resident Tuition,48,475,391,2,916,
,Tuition Exemption/Waiver,59,"1,643","1,551",18,"3,271",
Residency,Texas Resident,291,"1,974","1,143",19,"3,427",
Status,"Non-TX, US Resident",39,562,481,15,"1,097",
,"Non-TX, Non-US Resident",63,"1,543","1,459",4,"3,069",
SCH,< 6 SCH,191,463,688,1,"1,343",
Categories,6-8 SCH,130,305,226,8,669,
,9-11 SCH,38,"2,451","2,040",24,"4,553",
,12-14 SCH,22,633,112,4,771,
,15-17 SCH,12,120,16,1,149,
,>17 SCH,,107,1,,108,
Ft/Pt:  TAMU,Less Than Half Time,171,389,579,,"1,139",
Status,Half-Time,150,377,334,9,870,
,Full-Time,72,"3,313","2,170",29,"5,584",
"Prepared by OISP, 08 Apr 03",,,,,,,
