"Spring 2003
G. Bush School       BUSH  of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEOL GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine       VAPH VLAM VSAM VTPB VTPH VTPP
Subtotal
General Studies       GEST
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,93,57.6%,3,0.0%,16,128.6%,3,100.0%,,2,100.0%,5,66.7%,,3,200.0%,125,68.9%,
,93,57.6%,3,0.0%,16,128.6%,3,100.0%,,2,100.0%,5,66.7%,,3,200.0%,125,68.9%,
,160,9.6%,2,100.0%,10,42.9%,1,-50.0%,,0,-100.0%,20,42.9%,,2,-33.3%,195,12.1%,
,5,100.0%,,,1,100.0%,1,100.0%,,,,,,,,,7,100.0%,
,159,4.6%,5,-16.7%,20,53.8%,0,-100.0%,,1,0.0%,17,88.9%,,2,100.0%,204,11.5%,
,0,-100.0%,,,0,-100.0%,,,,,,,,,,,0,-100.0%,
,151,8.6%,,,11,0.0%,4,-20.0%,,1,0.0%,38,-30.9%,,5,25.0%,210,-2.3%,
,40,-16.7%,,,1,-50.0%,1,0.0%,,,,26,-10.3%,,0,-100.0%,68,-16.0%,
,515,2.2%,7,0.0%,43,26.5%,7,-22.2%,,2,-33.3%,101,-5.6%,,9,0.0%,684,1.6%,
,178,-9.2%,1,0.0%,27,3.8%,8,60.0%,,1,-50.0%,11,-8.3%,,5,150.0%,231,-5.3%,
,273,32.5%,8,-20.0%,58,18.4%,14,55.6%,,2,100.0%,5,400.0%,,5,150.0%,365,31.8%,
,705,5.2%,10,-28.6%,72,2.9%,13,-7.1%,,7,0.0%,5,0.0%,,11,-21.4%,823,3.7%,
,562,5.8%,7,-22.2%,68,44.7%,34,54.5%,,2,-50.0%,80,8.1%,,10,-23.1%,763,9.0%,
,579,2.1%,20,66.7%,51,10.9%,8,100.0%,,4,0.0%,26,8.3%,,12,20.0%,700,4.9%,
,494,5.6%,9,-10.0%,57,-3.4%,4,-42.9%,,6,-14.3%,1,100.0%,,16,23.1%,587,4.1%,
,464,-32.3%,13,-38.1%,41,-32.8%,4,-66.7%,,1,-80.0%,7,-30.0%,,4,-55.6%,534,-33.5%,
,68,-11.7%,,,36,71.4%,1,-50.0%,,,,2,-50.0%,,1,0.0%,108,2.9%,
,112,25.8%,1,100.0%,12,100.0%,3,-40.0%,,,,3,200.0%,,7,40.0%,138,30.2%,
,822,6.5%,27,80.0%,102,6.3%,19,11.8%,,3,-57.1%,15,36.4%,,11,0.0%,999,7.5%,
,69,32.7%,4,-20.0%,13,0.0%,,,,1,100.0%,,,,1,100.0%,88,25.7%,
,"1,202",4.0%,49,-2.0%,145,-3.3%,44,-2.2%,,8,0.0%,13,30.0%,,17,-5.6%,"1,478",2.9%,
,248,8.8%,14,16.7%,33,6.5%,9,0.0%,,0,-100.0%,20,-13.0%,,4,33.3%,328,6.8%,
,"5,776",1.4%,163,2.5%,715,5.9%,161,6.6%,,35,-22.2%,188,7.4%,,104,3.0%,"7,142",2.0%,
,904,1.0%,40,-2.4%,181,27.5%,93,3.3%,,6,100.0%,30,0.0%,,12,-33.3%,"1,266",3.9%,
,237,-1.3%,13,8.3%,38,31.0%,16,-20.0%,,1,0.0%,94,-5.1%,,4,-20.0%,403,-0.7%,
,325,12.5%,6,0.0%,18,-14.3%,14,27.3%,,1,0.0%,60,15.4%,,9,12.5%,433,11.6%,
,82,2.5%,3,200.0%,8,60.0%,2,-66.7%,,,,90,25.0%,,1,-66.7%,186,11.4%,
,25,8.7%,0,-100.0%,0,-100.0%,3,50.0%,,,,67,1.5%,,,,95,2.2%,
,"1,573",3.0%,62,1.6%,245,23.7%,128,-0.8%,,8,60.0%,341,6.9%,,26,-23.5%,"2,383",4.8%,
,"1,765",-3.1%,33,-19.5%,202,-1.5%,109,3.8%,,10,-16.7%,9,28.6%,,30,-11.8%,"2,158",-3.1%,
,21,-8.7%,,,1,-50.0%,1,100.0%,,,,12,50.0%,,1,0.0%,36,5.9%,
,7,75.0%,,,0,-100.0%,,,,,,,,,,,7,40.0%,
,4,33.3%,,,,,1,100.0%,,,,,,,,,5,66.7%,
,35,-22.2%,1,-50.0%,3,-40.0%,1,0.0%,,,,12,-7.7%,,1,0.0%,53,-20.9%,
,,,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,19,0.0%,1,0.0%,2,100.0%,3,50.0%,,,,14,-6.7%,,1,0.0%,40,2.6%,
,"1,851",-3.4%,35,-20.5%,208,-2.8%,115,6.5%,,10,-16.7%,47,6.8%,,33,-10.8%,"2,299",-3.2%,
,"2,503",-0.4%,114,4.6%,322,1.9%,84,-3.4%,,22,46.7%,17,-10.5%,,24,-20.0%,"3,086",-0.1%,
,"2,503",-0.4%,114,4.6%,322,1.9%,84,-3.4%,,22,46.7%,17,-10.5%,,24,-20.0%,"3,086",-0.1%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,,
