"Spring 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special         CLMD Populations              COFD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
5
1
6
4
5
6
1
5
3
3
3
16
22
68
52
9
4
2
67
57
57
153
153
592","Sophomore
2
2
2
13
11
10
7
7
7
25
2
30
8
122
40
4
4
1
49
37
37
154
154
687","Junior
1
7
2
10
7
22
28
21
20
18
11
14
3
28
3
35
12
222
41
5
5
1
52
41
41
15
15
784","Senior
2
8
4
14
10
19
25
29
16
24
19
14
3
31
8
45
10
253
45
5
1
1
52
42
42
984","PB
6","Total
8
1
15
8
32
19
58
69
66
44
54
40
31
9
100
13
132
30
665
178
23
14
5
220
177
177
322
322
3,053",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,3,2,1,2,2,25,25,10,
,,,,,,,,,,,,,,,1,
,,,,,,,,,3,,,,,,20,
,,,,,,,1,2,3,,,,,,11,
,,,,,,,,1,1,,,,,,1,
,,,,,,,3,6,9,,2,2,,,43,
,,,,,,,1,4,5,,3,3,,,27,
,,,,,,,,,,,,,,,58,
,,,,,,,,,,,3,3,,,72,
,,,,,,,,1,1,,1,1,,,68,
,,,,,,,2,1,3,,4,4,,,51,
,,,,,,,1,1,2,,1,1,,,57,
,,,,,,,,1,1,,,,,,41,
,,,,,,,,5,5,,,,,,36,
,,,,,,,,3,3,,,,,,12,
,,,,,,,,1,1,,1,1,,,102,
,,,,,,,,,,,,,,,13,
,,,,,,,,5,5,,8,8,,,145,
,,,,,,,,2,2,,1,1,,,33,
,,,,,,,4,24,28,,22,22,,,715,
,,,,,,,,2,2,,1,1,,,181,
,,,,,,,,10,10,,5,5,,,38,
,,,,,,,1,2,3,,1,1,,,18,
,,,,,,,,2,2,,1,1,,,8,
,,,,,,,1,16,17,,8,8,,,245,
,,,,,,,,,,,,,,,202,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,2,2,,1,1,,,3,
,,,,,,,,2,2,,,,,,2,
,,,,,,,,5,5,,1,1,25,25,208,
,,,,,,,,,,,,,,,322,
,,,,,,,,,,,,,,,322,
,,,,,,,1,,1,,,,,,1,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,1,1,,,,,,1,
,,,,,,,8,,8,,,,,,8,
,,,,,,,9,2,11,,,,,,11,
,,,,,,,47,200,247,,147,148,25,25,"3,473",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
