"Spring 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
2
21
21
2
1
3
2
9
3
9
5
3
8
1
5
1
1
47","Sophomore
1
2
2
5
5
2
7
24
24
5
1
6
6
5
8
2
10
4
18
2
4
5
2
66","Junior
1
1
1
1
6
4
4
1
2
21
6
1
1
8
15
4
12
12
5
4
52
2
5
3
10
3
9
8
1
16
10
26
7
5
4
3
4
96","Senior
3
2
15
1
2
3
1
1
2
30
9
3
1
13
5
5
13
7
8
38
6
4
10
3
8
12
31
9
53
43
4
11
3
1
178","PB
3
1
4","Total
1
5
4
1
24
7
2
7
2
1
4
58
21
7
2
30
20
49
17
25
12
12
135
2
18
9
29
14
31
31
12
62
26
108
53
13
26
9
6
391",PB,Master,Total,Master,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,2,,2,2,,,3,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,3,3,,,9,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,4,4,,,28,
,,,,,,,,,,,,,,,7,
,,,,,,,,1,1,,3,3,,,6,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,2,2,,,3,
,,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,2,2,,1,1,,,7,
,,,,,,,1,6,7,,16,16,,,81,
,,,,,,,1,4,5,,2,2,,,28,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,2,
,,,,,,,1,4,5,,2,2,,,37,
,,,,,,,,4,4,,,,,,24,
,,,,,,,,8,8,,,,,,57,
,,,,,,,,6,6,,,,,,23,
,,,,,,,,2,2,,,,,,27,
,,,,,,,,,,,,,,,12,
,,,,,,,,1,1,,,,,,13,
,,,,,,,,21,21,,,,,,156,
,,,,,,,,,,,,,,,2,
,,,,,,,1,3,4,,3,3,,,7,
,,,,,,,1,1,2,,,,,,2,
,,,,,,,,,,,1,1,,,19,
,,,,,,,1,3,4,,2,2,,,15,
,,,,,,,3,7,10,,6,6,,,45,
,,,,,,,,,,,,,,,14,
,,,,,,,,1,1,,,,,,32,
,,,,,,,,2,2,,1,1,,,34,
,,,,,,,,1,1,,,,,,13,
,,,,,,,2,6,8,,6,6,,,76,
,,,,,,,,2,2,,2,2,,,30,
,,,,,,,,7,7,,1,1,,,116,
,,,,,,,,,,,,,,,53,
,,,,,,,,3,3,,,,,,16,
,,,,,,,,7,7,,1,1,,,34,
,,,,,,,,2,2,,2,2,,,13,
,,,,,,,,1,1,,,,,,7,
,,,,,,,2,32,34,,13,13,,,438,
,,,,,,,2,1,3,,,,,,3,
,,,,,,,2,1,3,,,,,,3,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,
