Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,903,13.7%,15,36.4%,44,-13.7%,,,918,14.0%,
,AGBL,145,-22.5%,,,,,,,145,-22.5%,
,AGBU,120,-28.1%,35,-12.5%,,,,,155,-25.1%,
,AGEC,355,-1.7%,42,35.5%,,,,,441,-0.5%,
,AGED,,,55,5.8%,53,8.2%,,,108,6.9%,
,AGEN,97,5.4%,2,-33.3%,1,100.0%,,,100,5.3%,
,AGJR,73,-6.4%,,,,,,,73,-6.4%,
,AGLS,278,50.3%,,,,,,,278,50.3%,
,AGRO,127,-3.8%,20,0.0%,17,6.3%,,,164,-2.4%,
,AGSC,190,6.1%,,,,,,,190,6.1%,
,AGSM,175,-10.7%,2,100.0%,,,,,177,-10.2%,
,ANBR,,,1,100.0%,1,0.0%,,,2,100.0%,
,ANSC,653,5.5%,44,-13.7%,14,-30.0%,,,711,3.0%,
,BAEN,,,33,43.5%,11,10.0%,,,44,33.3%,
,BESC,160,4.6%,,,,,,,160,4.6%,
,BICH,156,-9.3%,38,31.0%,65,10.2%,,,259,-0.4%,
,BSEN,30,-3.2%,,,,,,,30,-3.2%,
,DASC,11,-8.3%,,,,,,,11,-8.3%,
,ENTO,39,11.4%,26,0.0%,27,-3.6%,,,92,3.4%,
,FISC,,,2,0.0%,,,,,2,0.0%,
,FLOR,6,50.0%,1,100.0%,,,,,7,75.0%,
,FORS,44,12.8%,10,66.7%,8,-11.1%,,,62,14.8%,
,FSTC,48,-36.0%,34,-2.9%,23,0.0%,,,105,-21.1%,
,GENE,180,-12.2%,11,22.2%,25,0.0%,,,216,-9.6%,
,HORT,132,-4.3%,19,-13.6%,16,33.3%,,,167,-2.9%,
,MEPS,,,11,57.1%,12,9.1%,,,23,27.8%,
,NRDV,,,8,100.0%,,,,,8,100.0%,
,NUSC,263,9.1%,,,,,,,263,9.1%,
,NUTR,,,31,-29.5%,16,33.3%,,,47,-16.1%,
,PLBR,,,12,20.0%,16,0.0%,,,28,7.7%,
,PLPA,,,7,0.0%,21,-4.5%,,,28,-3.4%,
,PLSC,,,1,100.0%,,,,,1,100.0%,
,POSC,149,10.4%,4,-42.9%,13,8.3%,,,166,7.8%,
,PPHY,,,0,-100.0%,1,-50.0%,,,1,-75.0%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,12,20.0%,11,-8.3%,,,23,4.5%,
,PSSC,6,50.0%,,,,,,,6,50.0%,
,RENR,31,-11.4%,,,,,,,31,-11.4%,
,RLEM,103,-2.8%,33,10.0%,33,10.0%,,,169,1.8%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
