Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              BIOT
Special              ENSM
Populations       MARM
MDSC OCRE PETE PHLT REEP",,"1
27","100.0%
0.0%","8
0
11
14
0
31
9","-33.3%
-100.0%
100.0%
133.3%
-100.0%
10.7%
125.0%",,,,,"8
0
11
14
1
0
31
36","-33.3%
-100.0%
100.0%
133.3%
100.0%
-100.0%
10.7%
16.1%",
,Subtotal,28,3.7%,73,40.4%,,,,,101,27.8%,
Total,,"34,038",-0.4%,"4,503",5.0%,"3,090",6.1%,488,-0.4%,"42,119",0.6%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
