Country,Undergraduate,Masters,PhD,Professional,Total Students
Romania,,5,13,,18
Russia,6,11,26,,43
Rwanda,,3,,,3
San Marino,,1,,,1
Saudi Arabia,2,6,10,,18
Serbia,,4,4,,8
Singapore,3,6,6,,15
Slovakia,1,,,,1
South Africa,3,4,1,,8
Spain,3,5,1,,9
Sri Lanka (Ceylon),1,3,4,,8
Sudan,,1,,,1
Suriname,,1,,,1
Sweden,2,2,,,4
Switzerland,5,,,,5
Syria,,,1,,1
Taiwan,11,27,62,,100
Thailand,2,17,25,,44
Trinidad & Tobago,1,1,,,2
Tunisia,3,,1,,4
Turkey,14,32,52,,98
Turkmenistan,,1,,,1
Uganda,1,1,2,,4
Ukraine,,4,1,,5
United Arab Emirates,4,2,,,6
United Kingdom,8,7,3,,18
United States,"33,535","2,896","1,624",488,"38,543"
Uruguay,2,,3,,5
Uzbekistan,,,1,,1
Venezuela,11,31,15,,57
Viet Nam Socialist Republic,6,3,5,,14
Yemen,,1,,,1
YUGOSLAVIA (OLD),2,2,2,,6
Zambia,,1,1,,2
Zimbabwe (Rhodesia),,1,3,,4
