Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College General Studies,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,521,-10.6%,,,,,,,521,-10.6%,
Gender,Female,242,-10.4%,,,,,,,242,-10.4%,
,Male,279,-10.9%,,,,,,,279,-10.9%,
Ethnicity,White,384,-6.3%,,,,,,,384,-6.3%,
,Black,37,-28.8%,,,,,,,37,-28.8%,
,Hispanic,78,-10.3%,,,,,,,78,-10.3%,
,Asian,8,-66.7%,,,,,,,8,-66.7%,
,American Indian,,,,,,,,,,,
,International,8,100.0%,,,,,,,8,100.0%,
,Unknown/Other,6,0.0%,,,,,,,6,0.0%,
TAMU Age,<18,3,50.0%,,,,,,,3,50.0%,
Categories,18-21,501,-10.4%,,,,,,,501,-10.4%,
,22-25,14,-26.3%,,,,,,,14,-26.3%,
,26-30,3,50.0%,,,,,,,3,50.0%,
,31-39,0,-100.0%,,,,,,,0,-100.0%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,135,-18.2%,,,,,,,135,-18.2%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,6,20.0%,,,,,,,6,20.0%,
,Readmitted,0,-100.0%,,,,,,,0,-100.0%,
,Continuing,380,-7.1%,,,,,,,380,-7.1%,
Tuition,Resident Tuition,479,-13.8%,,,,,,,479,-13.8%,
Status,Non-Resident Tuition,27,28.6%,,,,,,,27,28.6%,
,Tuition Exemption/Waiver,15,150.0%,,,,,,,15,150.0%,
Residency,Texas Resident,485,-13.5%,,,,,,,485,-13.5%,
Status,"Non-TX, US Resident",26,52.9%,,,,,,,26,52.9%,
,"Non-TX, Non-US Resident",10,100.0%,,,,,,,10,100.0%,
SCH,< 6 SCH,178,1.1%,,,,,,,178,1.1%,
Categories,6-8 SCH,171,13.2%,,,,,,,171,13.2%,
,9-11 SCH,153,109.6%,,,,,,,153,109.6%,
,12-14 SCH,19,-89.6%,,,,,,,19,-89.6%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,10,-23.1%,,,,,,,10,-23.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","176
1","-2.2%
100.0%",,,,,,,"176
1","-2.2%
100.0%",
,Full-Time,334,-14.4%,,,,,,,334,-14.4%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
