Demographic Summary by Classification,,,,,,,,,
Undergraduate Students Summer 2003,,,,,,,,,
,Summer 2003,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,148,568,"1,588","4,462","6,564",43,"13,373",
Gender,Female,90,263,764,"2,275","3,245",20,"6,657",
,Male,58,305,824,"2,187","3,319",23,"6,716",
Ethnicity,White,54,403,"1,283","3,659","5,353",33,"10,785",
,Black,16,50,73,90,156,1,386,
,Hispanic,26,74,140,397,608,4,"1,249",
,Asian,9,16,45,157,218,1,446,
,American Indian,,1,3,31,32,1,68,
,International,17,21,37,78,107,3,263,
,Unknown/Other,26,3,7,50,90,,176,
TAMU Age,<18,3,1,1,,,,5,
Categories,18-21,68,558,"1,474","2,963","1,332",1,"6,396",
,22-25,35,6,85,"1,374","4,844",19,"6,363",
,26-30,16,2,23,85,286,13,425,
,31-39,8,1,4,24,78,9,124,
,40+,18,,1,16,24,1,60,
College,Agriculture,32,63,280,841,"1,293",6,"2,515",
,Architecture,1,9,58,187,301,,556,
,Business Admin,6,37,176,691,895,,"1,805",
,Education,3,16,174,475,826,13,"1,507",
,Engineering,51,90,280,729,"1,242",16,"2,408",
,Geosciences,,8,17,41,92,1,159,
,Liberal Arts,19,55,251,"1,061","1,360",2,"2,748",
,Science,15,18,69,187,279,2,570,
,Veterinary Medicine,4,30,70,191,276,3,574,
,General Studies,7,242,213,59,,,521,
,Other - Special Populations,10,,,,,,10,
Enrollment,1st Time in College,,192,2,1,,,195,
Status,1st Time PB,,,,,,7,7,
,1st Time Transfer,,18,127,108,4,,257,
,Readmitted,,2,14,39,63,,118,
,Continuing,148,356,"1,445","4,314","6,497",36,"12,796",
Tuition,Resident Tuition,96,511,"1,497","4,256","6,262",37,"12,659",
Status,Non-Resident Tuition,36,41,59,125,179,6,446,
,Tuition Exemption/Waiver,16,16,32,81,123,,268,
Residency,Texas Resident,106,512,"1,499","4,258","6,267",38,"12,680",
Status,"Non-TX, US Resident",25,33,51,126,189,2,426,
,"Non-TX, Non-US Resident",17,23,38,78,108,3,267,
SCH,< 6 SCH,106,169,539,"1,220","1,974",19,"4,027",
Categories,6-8 SCH,30,194,647,"1,776","2,495",15,"5,157",
,9-11 SCH,6,170,257,895,"1,208",8,"2,544",
,12-14 SCH,6,35,139,540,797,1,"1,518",
,15-17 SCH,,,6,27,78,,111,
,>17 SCH,,,,4,12,,16,
Ft/Pt:,Less Than Half Time,51,8,60,202,420,10,751,
TAMU,Half-Time,34,153,625,"1,415","1,966",11,"4,204",
Status,Three-Quarter Time,,3,2,13,20,,38,
,Full-Time,63,404,901,"2,832","4,158",22,"8,380",
"Prepared by OISP, 04 Aug 03",,,,,,,,,
