Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Hispanic,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
7
1
8
2
2
4
4
1
1","Sophomore
3
5
2
4
9
1
2
1
27
2
1
3
1
6
7
5
4
6
15","Junior
2
9
13
2
16
4
8
2
2
5
63
7
10
1
18
8
3
8
3
4
13
39
3
14
14
31","Senior
5
25
19
5
4
6
2
3
10
3
1
10
8
101
9
21
2
32
12
11
6
16
15
60
2
37
32
71","PB
2
2","Total
7
37
37
7
17
31
6
3
18
6
1
15
14
199
18
33
4
55
21
13
19
9
20
28
110
10
55
55
120",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,4,4,1,1,,,7,
,,,,,,,,,,,,,,42,
,,,,,,,,1,1,2,2,,,40,
,,,,,,,,,,,,,,7,
,,,,,,,,1,1,1,1,,,19,
,,,,,,,,,,,,,,31,
,,,,,,,,2,2,1,1,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,18,
,,,,,,,,,,2,2,,,8,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,16,
,,,,,,,,1,1,,,,,1,
,,,,,,,,5,5,5,5,,,24,
,,,,,,,,16,16,12,12,,,227,
,,,,,,,,8,9,1,1,,,28,
,,,,,,,,,,,,,,33,
,,,,,,,,,,,,,,4,
,,,,,,,1,8,9,1,1,,,65,
,,,,,,,,4,4,,,,,25,
,,,,,,,1,4,5,,,,,18,
,,,,,,,,2,2,,,,,21,
,,,,,,,,2,2,2,2,,,13,
,,,,,,,,2,2,,,,,22,
,,,,,,,,3,3,,,,,31,
,,,,,,,1,17,18,2,2,,,130,
,,,,,,,,,,,,,,10,
,,,,,,,1,8,9,35,35,,,44,
,,,,,,,4,19,23,12,12,,,35,
,,,,,,,,4,4,,,,,59,
,,,,,,,6,,6,13,13,,,74,
,,,,,,,11,31,42,60,60,,,222,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
