Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Hispanic,,,,,,,,,,,,,,,
"Summer 2003
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
2
3
1
1
3
1
15
1
1
1
1
2
1
2
4
11
4
4","Sophomore
4
2
3
7
2
6
4
2
3
33
1
1
3
2
3
1
1
5
5
20
6
1
7","Junior
2
5
4
3
5
16
11
12
7
10
4
2
81
1
2
3
3
9
9
15
7
8
4
5
2
23
20
10
115
18
1
3
1
23","Senior
7
3
6
9
28
17
28
5
14
4
1
122
8
1
9
3
10
12
16
16
16
6
13
2
19
5
24
10
152
26
7
2
35","PB
1
1
2","Total
14
12
14
12
19
51
34
42
12
30
8
5
253
2
10
2
14
6
23
24
34
23
27
11
18
4
48
5
51
24
298
54
8
5
2
69",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,2,2,,,15,
,,,,,,,,1,1,,,,,13,
,,,,,,,,,,,,,,16,
,,,,,,,,,,,,,,12,
,,,,,,,,4,5,1,1,,,25,
,,,,,,,,6,6,4,4,,,61,
,,,,,,,,,,,,,,34,
,,,,,,,,1,1,,,,,43,
,,,,,,,,6,6,,,,,18,
,,,,,,,,2,2,1,1,,,33,
,,,,,,,,1,1,,,,,9,
,,,,,,,,2,2,,,,,7,
,,,,,,,1,24,25,8,8,,,286,
,,,,,,,3,5,8,,,,,8,
,,,,,,,3,5,8,,,,,8,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,11,
,,,,,,,,2,2,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,4,4,,,,,18,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,,,,,23,
,,,,,,,,,,3,3,,,27,
,,,,,,,,1,1,,,,,35,
,,,,,,,,1,1,1,1,,,25,
,,,,,,,,1,1,,,,,28,
,,,,,,,,1,1,,,,,12,
,,,,,,,,,,,,,,18,
,,,,,,,,1,1,,,,,5,
,,,,,,,,1,1,1,1,,,50,
,,,,,,,,,,,,,,5,
,,,,,,,,4,4,7,7,,,62,
,,,,,,,,1,1,,,,,25,
,,,,,,,,12,12,12,12,,,322,
,,,,,,,,1,1,1,1,,,56,
,,,,,,,,9,9,6,6,,,23,
,,,,,,,2,2,4,,,,,9,
,,,,,,,3,2,5,1,1,,,8,
,,,,,,,5,14,19,8,8,,,96,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
