Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Asian,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
2
2","Sophomore
1
1
1
1
4
2
2
7
1
1
9
1
1
2","Junior
1
1
2
2
3
2
1
1
1
14
1
2
3
9
2
6
4
2
5
28
2
5
1
8","Senior
1
7
1
1
2
1
13
3
1
4
7
2
5
4
6
24
7
5
12",PB,"Total
1
4
3
1
11
5
1
4
1
2
1
34
6
3
9
16
9
9
9
7
11
61
3
13
8
24",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,2,2,,,3,
,,,,,,,,,,,,,,4,
,,,,,,,,,,3,3,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,4,4,,,15,
,,,,,,,,,,,,,,5,
,,,,,,,,,,3,3,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,1,1,,,3,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,5,5,15,15,,,54,
,,,,,,,,5,5,,,,,11,
,,,,,,,,,,,,,,3,
,,,,,,,,5,5,,,,,14,
,,,,,,,,4,4,,,,,20,
,,,,,,,,,,,,,,9,
,,,,,,,,4,4,,,,,13,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,11,
,,,,,,,,8,8,,,,,69,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,3,3,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,14,
,,,,,,,,2,4,,,,,12,
,,,,,,,2,5,7,4,4,,,35,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
